source,resp_id,q_id,profile_id,alt_id,obs_id,has_bev,enrollment_cash,occurrence_cash,monthly_occurrence,lower_bound,guaranteed_threshold,choice,no_choice,mc_car_year_1,mc_car_year_2,mc_car_year_planned,mc_car_number,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,mc_neighbor,mc_max_range,mc_umc,mc_lv2_charger,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,mc_climate,mc_yob,mc_gender,mc_ethnicity,mc_education,mc_work,mc_party,mc_house_type,mc_house_owner,mc_household_size,mc_income,mc_v2g,mc_v2g_charger
social,1,6,522,2,6,yes,100,2,3,20,80,0,0,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,1,6,0,3,6,yes,0,0,0,0,0,0,1,2020,2018,NA,2,yes,by_car,3,over_100,private_garage,no,250,no,yes,yes,6,more_than_8,no,NA,NA,believe,1955,male,white,degree_bs,retired,republican,detached,own,2,prefer_not_say,yes,no
social,2,1,59,1,7,yes,200,20,3,20,60,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,1,607,2,7,yes,200,5,3,30,80,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,1,0,3,7,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,2,366,1,8,yes,100,5,3,30,70,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,2,393,2,8,yes,50,15,4,30,70,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,2,0,3,8,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,3,434,1,9,yes,100,15,2,40,70,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,3,539,2,9,yes,200,20,3,20,80,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,3,0,3,9,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,4,681,1,10,yes,50,2,3,40,80,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,4,285,2,10,yes,50,5,3,20,70,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,4,0,3,10,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,5,604,1,11,yes,300,2,3,30,80,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,5,555,2,11,yes,200,15,4,20,80,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,5,0,3,11,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,6,131,1,12,yes,200,10,3,30,60,0,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,6,467,2,12,yes,200,5,4,40,70,1,0,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,2,6,0,3,12,yes,0,0,0,0,0,0,1,2019,1996,NA,2,no,NA,NA,below_10,private_garage,yes,300,app,no,yes,7,3_to_5,no,NA,NA,very,1961,male,white,degree_associate,retired,democratic,detached,own,2,prefer_not_say,yes,no
social,3,1,256,1,13,yes,300,15,1,20,70,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,1,680,2,13,yes,300,20,2,40,80,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,1,0,3,13,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,2,487,1,14,yes,200,5,1,20,80,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,2,492,2,14,yes,300,10,1,20,80,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,2,0,3,14,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,3,351,1,15,yes,200,10,2,30,70,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,3,548,2,15,yes,300,5,4,20,80,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,3,0,3,15,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,4,534,1,16,yes,100,15,3,20,80,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,4,581,2,16,yes,50,2,2,30,80,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,4,0,3,16,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,5,157,1,17,yes,50,20,4,30,60,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,5,611,2,17,yes,200,10,3,30,80,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,5,0,3,17,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,6,60,1,18,yes,300,20,3,20,60,0,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,6,75,2,18,yes,200,15,4,20,60,1,0,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,3,6,0,3,18,yes,0,0,0,0,0,0,1,2020,2017,NA,2,no,NA,NA,31_to_50,private_garage,no,300,app,yes,yes,7,more_than_8,no,NA,NA,very,1954,male,other,degree_bs,retired,prefer_not_say,detached,own,2,300_to_400,yes,no
social,4,1,135,1,19,yes,200,15,3,30,60,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,1,240,2,19,yes,300,20,4,40,60,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,1,0,3,19,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,2,683,1,20,yes,200,2,3,40,80,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,2,338,2,20,yes,100,20,1,30,70,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,2,0,3,20,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,3,214,1,21,yes,100,15,3,40,60,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,3,292,2,21,yes,300,10,3,20,70,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,3,0,3,21,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,4,434,1,22,yes,100,15,2,40,70,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,4,673,2,22,yes,50,15,2,40,80,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,4,0,3,22,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,5,162,1,23,yes,100,2,1,40,60,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,5,589,2,23,yes,50,10,2,30,80,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,5,0,3,23,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,6,654,1,24,yes,100,15,1,40,80,0,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,6,452,2,24,yes,300,10,3,40,70,1,0,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,4,6,0,3,24,yes,0,0,0,0,0,0,1,2023,2018,NA,2,no,NA,NA,51_to_100,private_garage,yes,250,no,yes,yes,1,5_to_8,no,NA,NA,believe,1965,male,white,degree_bs,retired,independent,detached,own,2,150_to_200,yes,yes
social,5,1,463,1,25,yes,200,2,4,40,70,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,1,584,2,25,yes,300,2,2,30,80,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,1,0,3,25,yes,0,0,0,0,0,1,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,2,247,1,26,yes,200,5,1,20,70,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,2,179,2,26,yes,200,20,1,40,60,1,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,2,0,3,26,yes,0,0,0,0,0,0,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,3,251,1,27,yes,200,10,1,20,70,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,3,680,2,27,yes,300,20,2,40,80,1,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,3,0,3,27,yes,0,0,0,0,0,0,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,4,138,1,28,yes,100,20,3,30,60,1,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,4,168,2,28,yes,300,5,1,40,60,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,4,0,3,28,yes,0,0,0,0,0,0,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,5,299,1,29,yes,200,20,3,20,70,1,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,5,633,2,29,yes,50,15,4,30,80,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,5,0,3,29,yes,0,0,0,0,0,0,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,6,680,1,30,yes,300,20,2,40,80,1,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,6,96,2,30,yes,300,15,1,30,60,0,0,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,5,6,0,3,30,yes,0,0,0,0,0,0,1,2023,2009,NA,2,no,NA,NA,below_10,private_garage,yes,200,smc,yes,yes,7,more_than_8,no,NA,NA,very,1961,male,white,degree_grad,retired,democratic,detached,own,2,150_to_200,yes,yes
social,6,1,582,1,31,yes,100,2,2,30,80,0,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,1,378,2,31,yes,100,20,3,30,70,1,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,1,0,3,31,yes,0,0,0,0,0,0,1,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,2,199,1,32,yes,200,20,2,40,60,1,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,2,701,2,32,yes,50,2,4,40,80,0,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,2,0,3,32,yes,0,0,0,0,0,0,1,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,3,56,1,33,yes,300,15,3,20,60,1,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,3,403,2,33,yes,200,2,1,40,70,0,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,3,0,3,33,yes,0,0,0,0,0,0,1,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,4,267,1,34,yes,200,5,2,20,70,0,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,4,300,2,34,yes,300,20,3,20,70,1,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,4,0,3,34,yes,0,0,0,0,0,0,1,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
social,6,5,390,1,35,yes,100,10,4,30,70,0,0,2023,2023,NA,2,yes,by_car,5,31_to_50,driveway,no,250,smc,yes,yes,2,more_than_8,no,NA,NA,believe,1959,male,white,vocational,employed_under40,democratic,detached,own,3,100_to_150,yes,no
