source,created,psid,time_sec_0a,ip_address,browser,zip_code,user_car_1,mc_car_year_1,is_bev_1,user_car_2,mc_car_year_2,is_bev_2,time_sec_0b,user_car_planned,mc_car_year_planned,time_sec_1,user_bev,mc_car_number,has_bev,plan_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_sec_2,time_2_created,time_2_ended,smc_respID,mc_smc_0,mc_smc_1,mc_smc_2,mc_smc_3,mc_smc_4,mc_smc_5,mc_smc_6,smc_all_same,time_sec_3,mc_climate,mc_yob,mc_gender,mc_ethnicity,txt_ethnicity,mc_education,txt_education,mc_work,mc_party,mc_house_type,txt_house_type,mc_house_owner,mc_household_size,mc_income,time_sec_4a,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_sec_4b,time_4b_created,time_4b_ended,v2g_respID,mc_v2g_1,mc_v2g_2,mc_v2g_3,mc_v2g_4,mc_v2g_5,mc_v2g_6,v2g_all_same,txt_feedback_2,smc_speeding,v2g_speeding
social,2024-03-12T19:56:29Z,NA,97,73.255.223.150,"Mozilla/5.0 (Linux; Android 14; SM-F731U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/454.1.0.49.104;]",60124,ford_mustang_mach_e,2023,yes,chevrolet_colorado,2021,no,NA,NA,NA,183,ford_mustang_mach_e,2,yes,NA,250,no,NA,NA,31_to_50,driveway,NA,yes,300,smc,Com Ed,yes,300,yes,7,5_to_8,no,NA,NA,299,2024-03-12T20:01:09Z,2024-03-12T20:06:08Z,225,3,1,3,2,1,3,3,no,109,very,1946,male,white,NA,degree_grad,NA,retired,independent,detached,NA,own,2,prefer_not_say,67,no,NA,NA,943507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-12T20:45:19Z,NA,118,73.142.81.38,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,7;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575771731]",06524,hyundai_ioniq_5,2023,yes,hyundai_tucson,2023,no,NA,NA,NA,181,hyundai_ioniq_5,2,yes,NA,250,yes,by_car,5,31_to_50,driveway,NA,no,250,smc,Eversource,yes,250,yes,2,more_than_8,no,NA,NA,492,2024-03-12T20:50:18Z,2024-03-12T20:58:30Z,366,2,2,2,1,1,1,2,no,92,believe,1959,male,white,NA,vocational,NA,employed_under40,democratic,detached,NA,own,3,100_to_150,43,yes,no,NA,630690,NA,287,2024-03-12T21:00:45Z,2024-03-12T21:05:32Z,202,2,1,1,2,2,2,no,NA,no,no
social,2024-03-12T23:04:33Z,NA,100,72.108.171.99,"Mozilla/5.0 (Linux; Android 14; SM-S916U Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/454.1.0.49.104;]",52404,chevrolet_bolt_ev,2017,yes,ford_expedition,2008,no,NA,NA,NA,137,chevrolet_bolt_ev,2,yes,NA,250,yes,"by_car, by_walk",4,over_100,private_garage,NA,no,250,no,NA,yes,250,yes,7,more_than_8,no,NA,NA,286,2024-03-12T23:08:30Z,2024-03-12T23:13:16Z,207,2,2,1,2,2,2,2,no,78,very,1975,male,white,NA,college_some,NA,employed_over40,independent,detached,NA,own,1,75_to_100,50,no,NA,NA,608832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-13T03:09:33Z,NA,84,73.94.166.138,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,7;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575771731]",19970,volkswagen_id_4,2021,yes,honda_cr_v,2014,no,NA,NA,NA,201,volkswagen_id_4,2,yes,NA,250,no,NA,NA,10_to_30,private_garage,NA,yes,200,smc,Delaware Electric Coop,yes,200,yes,2,5_to_8,no,NA,NA,317,2024-03-13T03:14:19Z,2024-03-13T03:19:36Z,16,2,2,1,3,2,2,3,no,83,believe,1958,male,white,NA,degree_grad,NA,retired,democratic,detached,NA,own,2,100_to_150,55,yes,no,NA,156578,NA,149,2024-03-13T03:21:56Z,2024-03-13T03:24:25Z,39,3,3,2,3,3,3,no,NA,no,yes
social,2024-03-13T14:09:50Z,NA,170321,70.21.162.15,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,5;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/576118166]",07712,ford_mustang_mach_e,2023,yes,NA_NA,NA,no,NA,NA,NA,159,ford_mustang_mach_e,1,yes,NA,250,no,NA,NA,10_to_30,driveway,NA,not_sure,250,no,NA,yes,250,yes,3,more_than_8,no,NA,NA,310,2024-03-15T13:31:11Z,2024-03-15T13:36:21Z,291,2,2,1,1,1,3,2,no,76,very,1953,male,white,NA,degree_grad,NA,retired,democratic,townhome,NA,own,2,150_to_200,62,no,NA,NA,246029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-13T14:46:09Z,NA,131,50.43.49.231,"Mozilla/5.0 (iPad; CPU OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBDV/iPad11,6;FBMD/iPad;FBSN/iPadOS;FBSV/17.3.1;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5]",97381,nissan_leaf,2020,yes,chevrolet_astro,2003,no,NA,NA,NA,292,nissan_leaf,2,yes,NA,150,no,NA,NA,31_to_50,private_garage,NA,yes,200,app,NA,yes,200,yes,4,3_to_5,no,NA,NA,418,2024-03-13T14:53:14Z,2024-03-13T15:00:12Z,195,2,2,1,1,2,1,2,no,152,very,1947,male,white,NA,vocational,NA,employed_under40,democratic,detached,NA,own,3,50_to_75,95,yes,yes,500,398778,NA,371,2024-03-13T15:04:19Z,2024-03-13T15:10:30Z,171,1,2,1,2,2,1,no,Good luck! America needs this but it’s going to be like herding cats.,no,no
social,2024-03-13T15:28:32Z,NA,68,104.28.235.60,"Mozilla/5.0 (iPad; CPU OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E219 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPad13,9;FBMD/iPad;FBSN/iPadOS;FBSV/17.4;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/575723956]",98108,nissan_ariya,2023,yes,toyota_tacoma,2004,no,NA,NA,NA,102,nissan_ariya,2,yes,NA,250,no,NA,NA,31_to_50,private_garage,NA,yes,300,no,NA,yes,300,yes,1,5_to_8,no,NA,NA,233,2024-03-13T15:31:22Z,2024-03-13T15:35:15Z,280,2,1,2,2,1,2,2,no,62,very,1960,male,white,NA,degree_associate,NA,retired,democratic,detached,NA,own,1,75_to_100,41,yes,yes,400,423237,NA,145,2024-03-13T15:36:59Z,2024-03-13T15:39:24Z,467,2,2,2,2,2,1,no,NA,no,yes
social,2024-03-13T16:45:44Z,NA,79,75.112.80.87,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone16,1;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575771731]",32720,bmw_i_4,2024,yes,subaru_outback,2018,no,NA,NA,NA,212,bmw_i_4,2,yes,NA,250,no,NA,NA,31_to_50,private_garage,NA,no,300,app,NA,yes,300,yes,3,more_than_8,no,NA,NA,319,2024-03-13T16:50:35Z,2024-03-13T16:55:54Z,85,2,1,1,1,2,1,1,no,251,very,1950,male,white,NA,degree_grad,NA,retired,independent,townhome,NA,own,2,150_to_200,300,yes,yes,500,710308,NA,411,2024-03-13T17:05:06Z,2024-03-13T17:11:57Z,58,1,2,1,1,1,2,no,NA,no,no
social,2024-03-13T17:51:40Z,NA,78,108.18.246.231,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone14,7;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575372076]",20111,chevrolet_bolt_euv,2023,yes,subaru_outback,2019,no,NA,NA,NA,242,chevrolet_bolt_euv,2,yes,NA,250,no,NA,NA,10_to_30,driveway,NA,no,250,no,NA,yes,250,yes,3,more_than_8,no,NA,NA,219,2024-03-13T17:57:01Z,2024-03-13T18:00:40Z,18,3,3,2,3,3,3,3,no,115,very,1948,male,white,NA,degree_bs,NA,retired,democratic,detached,NA,own,2,150_to_200,188,no,NA,NA,442743,"I run a bank of computer servers, so I have to shut some of them down to charge my BEV. So I actually reduced my electric bill. But that also means smoothing my BEV charging load is a non-starter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-13T21:40:59Z,NA,72,98.211.89.121,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/443.0.2.38.229;FBBV/543984574;FBDV/iPhone13,4;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/546755414]",19958,tesla_model_3,2023,yes,ford_taurus,2015,no,NA,NA,NA,149,tesla_model_3,2,yes,NA,300,no,NA,NA,10_to_30,private_garage,NA,yes,250,no,NA,yes,250,yes,3,3_to_5,no,NA,NA,276,2024-03-13T21:44:40Z,2024-03-13T21:49:16Z,297,2,2,1,1,2,2,2,no,83,believe,1953,male,white,NA,degree_bs,NA,retired,democratic,detached,NA,own,2,100_to_150,50,yes,no,NA,783320,NA,188,2024-03-13T21:51:30Z,2024-03-13T21:54:38Z,11,1,2,1,2,1,2,no,NA,no,no
social,2024-03-13T23:38:47Z,NA,55,172.59.224.217,"Mozilla/5.0 (Linux; Android 13; Pixel 6a Build/TQ3A.230901.001.C1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/122.0.6261.105 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/454.1.0.49.104;]",80127,volkswagen_id_4,2022,yes,nissan_leaf,2021,yes,NA,NA,NA,112,volkswagen_id_4,2,yes,NA,250,yes,by_car,5,31_to_50,driveway,NA,no,250,app,NA,yes,250,yes,4,more_than_8,no,NA,NA,281,2024-03-13T23:41:35Z,2024-03-13T23:46:16Z,99,2,3,2,1,3,2,2,no,50,very,1966,male,white,NA,college_some,NA,employed_under40,democratic,detached,NA,own,2,150_to_200,22,yes,no,NA,119685,NA,117,2024-03-13T23:47:28Z,2024-03-13T23:49:25Z,466,2,1,2,1,2,2,no,NA,no,yes
social,2024-03-14T01:33:50Z,NA,106,73.202.91.23,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone15,3;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/575963356]",94510,kia_ev_6,2023,yes,subaru_outback,2016,no,NA,NA,NA,158,kia_ev_6,2,yes,NA,250,yes,by_car,5,below_10,private_garage,NA,not_sure,250,no,NA,no,250,yes,2,5_to_8,no,NA,NA,395,2024-03-14T01:38:14Z,2024-03-14T01:44:49Z,410,2,1,1,3,2,1,2,no,75,believe,1965,male,white,NA,degree_bs,NA,employed_over40,republican,detached,NA,own,3,200_to_250,55,yes,no,NA,614891,NA,435,2024-03-14T01:47:00Z,2024-03-14T01:54:15Z,542,2,2,1,1,1,2,no,"For the V2G section it would be helpful often had some idea of how much we’d be paid when an event occurs.  PG&E might pay $0.02 per kWh but will charge $0.35 per kWh, which I would not be interested in. Even with solar panels PG&E is a rip off",no,no
social,2024-03-14T03:47:13Z,NA,61,98.59.174.93,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21D61 [FBAN/FBIOS;FBAV/452.0.0.39.110;FBBV/569146793;FBDV/iPhone13,3;FBMD/iPhone;FBSN/iOS;FBSV/17.3.1;FBSS/3;FBID/phone;FBLC/en_US;FBOP/5;FBRV/571609390]",98105,tesla_model_y,2023,yes,NA_NA,NA,no,NA,NA,NA,153,tesla_model_y,1,yes,NA,300,no,NA,NA,10_to_30,driveway,NA,yes,300,app,NA,yes,300,yes,6,more_than_8,no,NA,NA,219,2024-03-14T03:50:48Z,2024-03-14T03:54:27Z,137,2,1,2,1,1,1,2,no,76,very,1955,male,white,NA,degree_bs,NA,retired,democratic,detached,NA,own,2,250_to_300,57,no,NA,NA,337159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-14T13:12:43Z,NA,94,35.140.193.34,"Mozilla/5.0 (iPad; CPU OS 16_7_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20H307 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPad6,12;FBMD/iPad;FBSN/iPadOS;FBSV/16.7.5;FBSS/2;FBID/tablet;FBLC/en_US;FBOP/5;FBRV/576118166]",33778,nissan_rogue,2020,no,mini_hardtop_2_door_ev,2022,yes,NA,NA,NA,164,mini_hardtop_2_door_ev,2,yes,NA,100,no,NA,NA,below_10,private_garage,NA,yes,150,no,NA,yes,150,yes,1,less_than_3,no,NA,NA,275,2024-03-14T13:17:01Z,2024-03-14T13:21:36Z,390,2,1,3,2,3,3,3,no,114,very,1946,male,white,NA,degree_grad,NA,retired,democratic,detached,NA,own,2,100_to_150,39,no,NA,NA,143279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
social,2024-03-14T15:27:12Z,NA,84,185.197.192.209,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H380 [FBAN/FBIOS;FBAV/454.0.0.47.107;FBBV/573382529;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/15.8.1;FBSS/2;FBID/phone;FBLC/en_US;FBOP/5;FBRV/576486276]",06331,toyota_b_z_4_x,2023,yes,acura_rl,2009,no,NA,NA,NA,155,toyota_b_z_4_x,2,yes,NA,250,no,NA,NA,10_to_30,private_garage,NA,no,200,no,NA,yes,200,yes,3,3_to_5,no,NA,NA,268,2024-03-14T15:31:12Z,2024-03-14T15:35:40Z,63,3,3,3,3,2,2,1,no,96,not,1954,male,prefer_not_say,NA,degree_grad,NA,retired,prefer_not_say,detached,NA,own,2,100_to_150,145,no,NA,NA,548703,"I thought someone wanted to know our thoughts about EV range, charging capabilities, and so on.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,no
