session,session_id,study_id,iteration,created,modified,ended,expired,time_4b_start,completion_code,v2g_survey,v2g_respID,v2g_df,user_range,time_4b_1,mc_v2g_1,time_4b_2,mc_v2g_2,time_4b_3,mc_v2g_3,time_4b_4,mc_v2g_4,time_4b_5,mc_v2g_5,time_4b_6,mc_v2g_6,time_4b_7,v2g_all_same,txt_feedback_2,time_4b_1_posix,time_4b_7_posix,time_diff_v2g,v2g_speeding,time_4b_end,psid_complete
4FAjz5NMfKjWhQeDNP-SyW_2n9ljAB0FzBDJwI1KqRe00EvfgCG_Jei6BKu6g3nC,35523428,141484,14,2024-09-30 23:04:57,2024-09-30 23:06:21,2024-09-30 23:06:21,,2024-09-30 23:04:58,751497,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",1271,"{""profileID"":195,""respID"":1271,""qID"":1,""altID"":1,""obsID"":4021,""enrollment_cash"":200,""occurrence_cash"":15,""monthly_occurrence"":2,""lower_bound"":40,""guaranteed_threshold"":60,""no_choice"":0}",350,2024-09-30 23:05:16,2,2024-09-30 23:05:24,1,2024-09-30 23:05:31,1,2024-09-30 23:05:36,2,2024-09-30 23:05:44,1,2024-09-30 23:05:49,2,2024-09-30 23:05:54,no,I like the survey ,2024-09-30 23:05:16,2024-09-30 23:05:54,38,no,2024-09-30 23:06:21,S0iesZfB10Zy8jcIPTLLYw**
yVZ65fIewcf6d88Q9WzAdkOGYqwMYbqGRBeWxpNDDf_-CIyM5X4tQPvdEqPCGUYI,35523459,141484,15,2024-09-30 23:06:00,2024-09-30 23:09:21,2024-09-30 23:09:22,,2024-09-30 23:06:00,428556,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",624,"{""profileID"":15,""respID"":624,""qID"":1,""altID"":1,""obsID"":139,""enrollment_cash"":200,""occurrence_cash"":15,""monthly_occurrence"":1,""lower_bound"":20,""guaranteed_threshold"":60,""no_choice"":0}",350,2024-09-30 23:06:35,2,2024-09-30 23:07:25,2,2024-09-30 23:07:46,2,2024-09-30 23:08:19,2,2024-09-30 23:08:32,2,2024-09-30 23:08:45,1,2024-09-30 23:09:01,no,,2024-09-30 23:06:35,2024-09-30 23:09:01,146,no,2024-09-30 23:09:22,S0iesZfB10ZSeNKlEFB83w**
F97ugpWtki1WviDFgwOxESNzecuf1zrVkBUybKVvseqQbnlN1eEjNJ1qgExWLrsw,35523465,141484,16,2024-09-30 23:06:17,2024-09-30 23:07:13,2024-09-30 23:07:14,,2024-09-30 23:06:17,395875,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",994,"{""profileID"":276,""respID"":994,""qID"":1,""altID"":1,""obsID"":2359,""enrollment_cash"":300,""occurrence_cash"":15,""monthly_occurrence"":2,""lower_bound"":20,""guaranteed_threshold"":70,""no_choice"":0}",350,2024-09-30 23:06:29,2,2024-09-30 23:06:38,2,2024-09-30 23:06:44,1,2024-09-30 23:06:50,1,2024-09-30 23:06:56,2,2024-09-30 23:07:03,1,2024-09-30 23:07:11,no,,2024-09-30 23:06:29,2024-09-30 23:07:11,42,no,2024-09-30 23:07:13,S0iesZfB10bMbJWDXHzAcQ**
L-vBNlQ7-C9Ktrh-NJwGbc1pon3L_HLOn-dNnZet4PQWYjB3JQbpBsHcx_zDJKW_,35523490,141484,17,2024-09-30 23:07:39,2024-09-30 23:10:20,2024-09-30 23:10:20,,2024-09-30 23:07:39,897756,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",883,"{""profileID"":293,""respID"":883,""qID"":1,""altID"":1,""obsID"":1693,""enrollment_cash"":50,""occurrence_cash"":15,""monthly_occurrence"":3,""lower_bound"":20,""guaranteed_threshold"":70,""no_choice"":0}",350,2024-09-30 23:08:00,1,2024-09-30 23:08:17,1,2024-09-30 23:08:43,2,2024-09-30 23:08:56,1,2024-09-30 23:09:13,2,2024-09-30 23:09:23,1,2024-09-30 23:10:12,no,,2024-09-30 23:08:00,2024-09-30 23:10:12,132,no,2024-09-30 23:10:20,S0iesZfB10ZxDMv6E1cL8g**
VvQHLx2tmoDDhmJiFQkPQmGJ2yPLXtUxJENPjnKiko0LLpN2QXZSowvezIlk51EI,35523493,141484,18,2024-09-30 23:07:58,2024-09-30 23:09:53,2024-09-30 23:09:53,,2024-09-30 23:07:58,158762,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",1011,"{""profileID"":511,""respID"":1011,""qID"":1,""altID"":1,""obsID"":2461,""enrollment_cash"":200,""occurrence_cash"":10,""monthly_occurrence"":2,""lower_bound"":20,""guaranteed_threshold"":80,""no_choice"":0}",350,2024-09-30 23:08:15,1,2024-09-30 23:08:27,1,2024-09-30 23:08:39,2,2024-09-30 23:09:00,1,2024-09-30 23:09:13,1,2024-09-30 23:09:20,2,2024-09-30 23:09:28,no,I am very interested in the BEV home charging component ,2024-09-30 23:08:15,2024-09-30 23:09:28,73,no,2024-09-30 23:09:53,S0iesZfB10bwVF4qqMt_Yg**
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523501,141484,19,2024-09-30 23:08:06,2024-09-30 23:10:36,2024-09-30 23:10:36,,2024-09-30 23:08:07,892507,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3259,"{""profileID"":35,""respID"":3259,""qID"":1,""altID"":1,""obsID"":15949,""enrollment_cash"":200,""occurrence_cash"":15,""monthly_occurrence"":2,""lower_bound"":20,""guaranteed_threshold"":60,""no_choice"":0}",350,2024-09-30 23:08:22,2,2024-09-30 23:08:31,1,2024-09-30 23:08:41,2,2024-09-30 23:08:53,2,2024-09-30 23:09:08,1,2024-09-30 23:09:35,2,2024-09-30 23:09:45,no,Love the survey it was very much informative and educational for me,2024-09-30 23:08:22,2024-09-30 23:09:45,83,no,2024-09-30 23:10:36,S0iesZfB10bZc745jltIMA**
h9hm_jQ1cGJ1qnHDy62PQg5Yg4RCVB_SJCD6mpnCuGXBNfMLbBgYc0xMudv7h5rn,35523536,141484,20,2024-09-30 23:09:45,2024-09-30 23:11:28,2024-09-30 23:11:29,,2024-09-30 23:09:45,887482,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3698,"{""profileID"":278,""respID"":3698,""qID"":1,""altID"":1,""obsID"":18583,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":2,""lower_bound"":20,""guaranteed_threshold"":70,""no_choice"":0}",350,2024-09-30 23:10:02,2,2024-09-30 23:10:12,1,2024-09-30 23:10:20,2,2024-09-30 23:10:29,2,2024-09-30 23:10:45,2,2024-09-30 23:10:55,1,2024-09-30 23:11:05,no,Everything went smoothly ,2024-09-30 23:10:02,2024-09-30 23:11:05,63,no,2024-09-30 23:11:29,S0iesZfB10Yvhca7VVp95Q**
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523569,141484,21,2024-09-30 23:10:40,2024-09-30 23:11:50,2024-09-30 23:11:51,,2024-09-30 23:10:40,885796,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",4351,"{""profileID"":614,""respID"":4351,""qID"":1,""altID"":1,""obsID"":22501,""enrollment_cash"":100,""occurrence_cash"":15,""monthly_occurrence"":3,""lower_bound"":30,""guaranteed_threshold"":80,""no_choice"":0}",400,2024-09-30 23:10:52,2,2024-09-30 23:11:00,2,2024-09-30 23:11:04,2,2024-09-30 23:11:14,2,2024-09-30 23:11:20,2,2024-09-30 23:11:25,2,2024-09-30 23:11:30,yes,its be great,2024-09-30 23:10:52,2024-09-30 23:11:30,38,no,2024-09-30 23:11:50,S0iesZfB10ZzXN2L98zC2A**
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523572,141484,22,2024-09-30 23:10:48,2024-09-30 23:13:49,2024-09-30 23:13:49,,2024-09-30 23:10:48,295955,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",726,"{""profileID"":405,""respID"":726,""qID"":1,""altID"":1,""obsID"":751,""enrollment_cash"":50,""occurrence_cash"":5,""monthly_occurrence"":1,""lower_bound"":40,""guaranteed_threshold"":70,""no_choice"":0}",500,2024-09-30 23:11:12,2,2024-09-30 23:11:25,1,2024-09-30 23:11:38,1,2024-09-30 23:11:50,1,2024-09-30 23:12:01,1,2024-09-30 23:12:17,2,2024-09-30 23:12:27,no,The survey is very interesting and informative.,2024-09-30 23:11:12,2024-09-30 23:12:27,75,no,2024-09-30 23:13:49,S0iesZfB10aeheIIayPNuQ**
RvUPhJ-4kC5dySw7_PeNIkTxJ2WeObGxcfDTHLUEXpJT5te0QgiVbRU8YOkIh1OK,35523594,141484,23,2024-09-30 23:11:31,2024-09-30 23:12:15,2024-09-30 23:12:15,,2024-09-30 23:11:32,941251,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",2358,"{""profileID"":268,""respID"":2358,""qID"":1,""altID"":1,""obsID"":10543,""enrollment_cash"":300,""occurrence_cash"":5,""monthly_occurrence"":2,""lower_bound"":20,""guaranteed_threshold"":70,""no_choice"":0}",250,2024-09-30 23:11:40,2,2024-09-30 23:11:45,3,2024-09-30 23:11:50,2,2024-09-30 23:11:54,2,2024-09-30 23:11:58,1,2024-09-30 23:12:03,1,2024-09-30 23:12:07,no,nope,2024-09-30 23:11:40,2024-09-30 23:12:07,27,no,2024-09-30 23:12:15,S0iesZfB10YWOwghLtepfg**
FKahU5Wh2RwmWyWeKDp1dPdDrcu4N-OQbtdhYjUKcYXu6QurakRuAD8BZgQ-wyIu,35523623,141484,24,2024-09-30 23:12:21,2024-09-30 23:14:23,2024-09-30 23:14:24,,2024-09-30 23:12:21,104184,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",4415,"{""profileID"":575,""respID"":4415,""qID"":1,""altID"":1,""obsID"":22885,""enrollment_cash"":200,""occurrence_cash"":15,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":80,""no_choice"":0}",300,2024-09-30 23:13:02,1,2024-09-30 23:13:17,2,2024-09-30 23:13:36,2,2024-09-30 23:13:43,1,2024-09-30 23:13:51,1,2024-09-30 23:14:04,2,2024-09-30 23:14:11,no,,2024-09-30 23:13:02,2024-09-30 23:14:11,69,no,2024-09-30 23:14:23,S0iesZfB10a-tymCg7h7dQ**
1pZE7Fs3qx9rnJEJ5EqKInBIM6LpByP7NrnwMVkkgVR-WEGiEo_iqdlb71oESKTO,35523699,141484,25,2024-09-30 23:16:31,2024-09-30 23:17:21,2024-09-30 23:17:21,,2024-09-30 23:16:32,922901,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",3714,"{""profileID"":546,""respID"":3714,""qID"":1,""altID"":1,""obsID"":18679,""enrollment_cash"":100,""occurrence_cash"":5,""monthly_occurrence"":4,""lower_bound"":20,""guaranteed_threshold"":80,""no_choice"":0}",250,2024-09-30 23:16:40,2,2024-09-30 23:16:45,2,2024-09-30 23:16:50,1,2024-09-30 23:16:56,1,2024-09-30 23:17:01,2,2024-09-30 23:17:05,2,2024-09-30 23:17:14,no,,2024-09-30 23:16:40,2024-09-30 23:17:14,34,no,2024-09-30 23:17:21,S0iesZfB10YVEKMdAk0bkw**
pjZtkvUBESglafCnrudLTAPCUPkTlVe--tX79v20XIXjk-e0y-errOCvN4GY8lzP,35523727,141484,26,2024-09-30 23:17:43,2024-09-30 23:19:48,2024-09-30 23:19:48,,2024-09-30 23:17:43,552958,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",4367,"{""profileID"":62,""respID"":4367,""qID"":1,""altID"":1,""obsID"":22597,""enrollment_cash"":100,""occurrence_cash"":2,""monthly_occurrence"":4,""lower_bound"":20,""guaranteed_threshold"":60,""no_choice"":0}",450,2024-09-30 23:18:13,2,2024-09-30 23:18:27,1,2024-09-30 23:18:41,2,2024-09-30 23:18:53,1,2024-09-30 23:19:07,2,2024-09-30 23:19:19,1,2024-09-30 23:19:30,no,It good and nice,2024-09-30 23:18:13,2024-09-30 23:19:30,77,no,2024-09-30 23:19:48,S0iesZfB10YV4Bnn0UuPEg**
iUdN1rS81nIe4-tWCdJXZ7EKWbNG6whPUDQTfv22CmfmJTpjo3N0Zlqougn55-72,35523753,141484,27,2024-09-30 23:19:24,2024-09-30 23:21:35,2024-09-30 23:21:35,,2024-09-30 23:19:24,394851,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",1548,"{""profileID"":475,""respID"":1548,""qID"":1,""altID"":1,""obsID"":5683,""enrollment_cash"":200,""occurrence_cash"":15,""monthly_occurrence"":4,""lower_bound"":40,""guaranteed_threshold"":70,""no_choice"":0}",400,2024-09-30 23:19:43,1,2024-09-30 23:20:02,1,2024-09-30 23:20:13,2,2024-09-30 23:20:34,1,2024-09-30 23:20:46,2,2024-09-30 23:21:01,2,2024-09-30 23:21:09,no,Thank you ,2024-09-30 23:19:43,2024-09-30 23:21:09,86,no,2024-09-30 23:21:35,S0iesZfB10a_5iLRPjaGCQ**
AwBKpvU6x7ofl1du3pJTUxcX-kPMCybuRCxJMmZ3rvQD2aW1BpvrQjHgJIKcvsbX,35523759,141484,28,2024-09-30 23:19:35,2024-09-30 23:21:11,2024-09-30 23:21:11,,2024-09-30 23:19:35,236926,"{""profileID"":98,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":100,""occurrence_cash"":20,""monthly_occurrence"":1,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",1716,"{""profileID"":156,""respID"":1716,""qID"":1,""altID"":1,""obsID"":6691,""enrollment_cash"":300,""occurrence_cash"":15,""monthly_occurrence"":4,""lower_bound"":30,""guaranteed_threshold"":60,""no_choice"":0}",500,2024-09-30 23:19:56,2,2024-09-30 23:20:04,2,2024-09-30 23:20:10,2,2024-09-30 23:20:16,2,2024-09-30 23:20:23,2,2024-09-30 23:20:30,2,2024-09-30 23:20:36,yes,It was very interesting survey,2024-09-30 23:19:56,2024-09-30 23:20:36,40,no,2024-09-30 23:21:11,S0iesZfB10Zci5ZZko21tA**
