session,session_id,study_id,iteration,created,modified,ended,expired,time_3_start,mc_climate,mc_yob,mc_gender,mc_ethnicity,txt_ethnicity,mc_education,txt_education,mc_work,mc_party,mc_house_type,txt_house_type,mc_house_owner,mc_household_size,mc_income,time_3_end
t_2eQ5vlwrY-yKYzNPjDllokSv4qvUVAzurU37bxmKkV2Iy9UyEIw55JA8Sdw8S6,35522927,141365,19,2024-09-30 22:16:35,2024-09-30 22:17:52,2024-09-30 22:17:52,,2024-09-30 22:16:35,very,1966,female,white,,degree_grad,,retired,independent,townhome,,own,3,150_to_200,2024-09-30 22:17:52
oidZjnyVB4-70s1Boz_P0wGbPjPV2MrwfnNkCJYWCLi42xvReQvWPNL3JfXYEir_,35523342,141365,20,2024-09-30 23:01:38,2024-09-30 23:02:28,2024-09-30 23:02:28,,2024-09-30 23:01:38,somewhat,1965,male,white,,degree_bs,,employed_under40,independent,detached,,own,2,150_to_200,2024-09-30 23:02:28
v-2TkldmWPa3AnLLVnpjQiB5QktRb1471QcYKJ8y_rtKdughskCpT19Uh4llZYfT,35523353,141365,21,2024-09-30 23:02:10,2024-09-30 23:03:06,2024-09-30 23:03:06,,2024-09-30 23:02:10,very,1958,female,white,,degree_bs,,retired,independent,detached,,own,2,150_to_200,2024-09-30 23:03:06
pwtgJvz788_FekdWAX0tGevbhkAspDIL5zTOHjjDo8lZ0ZoUBmi3Ypb0pm3JAHCv,35523360,141365,22,2024-09-30 23:02:31,2024-09-30 23:03:16,2024-09-30 23:03:16,,2024-09-30 23:02:32,somewhat,1977,male,hispanic,,degree_bs,,employed_over40,independent,detached,,own,4,150_to_200,2024-09-30 23:03:16
4FAjz5NMfKjWhQeDNP-SyW_2n9ljAB0FzBDJwI1KqRe00EvfgCG_Jei6BKu6g3nC,35523374,141365,23,2024-09-30 23:02:45,2024-09-30 23:03:47,2024-09-30 23:03:47,,2024-09-30 23:02:45,believe,1993,female,asian,,degree_grad,,employed_over40,democratic,apartment,,rent,2,150_to_200,2024-09-30 23:03:47
yVZ65fIewcf6d88Q9WzAdkOGYqwMYbqGRBeWxpNDDf_-CIyM5X4tQPvdEqPCGUYI,35523399,141365,24,2024-09-30 23:03:29,2024-09-30 23:05:02,2024-09-30 23:05:03,,2024-09-30 23:03:29,not,1973,male,other,Filipino and Irish,degree_bs,,employed_under40,republican,detached,,own,4,250_to_300,2024-09-30 23:05:03
TK9D8baoAf7zrjZOq-Op8Lj1wRwb4m5PZ-L00vdgmidZ1RwfAH3gbhpGM03LFPt6,35523405,141365,25,2024-09-30 23:03:46,2024-09-30 23:04:36,2024-09-30 23:04:36,,2024-09-30 23:03:47,neutral,1962,female,white,,degree_grad,,employed_over40,independent,detached,,own,2,200_to_250,2024-09-30 23:04:36
dU2b8PyZ46FCmiGpy1YqBfCtEY5sknRQmP2tM9pi09L4-kIvYQ-2RMC6QQzzgm07,35523417,141365,26,2024-09-30 23:04:18,2024-09-30 23:05:13,2024-09-30 23:05:13,,2024-09-30 23:04:18,very,1981,female,asian,,degree_bs,,not_employed_yes_looking,independent,detached,,own,4,75_to_100,2024-09-30 23:05:13
F97ugpWtki1WviDFgwOxESNzecuf1zrVkBUybKVvseqQbnlN1eEjNJ1qgExWLrsw,35523422,141365,27,2024-09-30 23:04:35,2024-09-30 23:05:54,2024-09-30 23:05:54,,2024-09-30 23:04:35,very,1981,female,asian,,degree_grad,,employed_over40,democratic,detached,,own,4,200_to_250,2024-09-30 23:05:54
L-vBNlQ7-C9Ktrh-NJwGbc1pon3L_HLOn-dNnZet4PQWYjB3JQbpBsHcx_zDJKW_,35523445,141365,28,2024-09-30 23:05:35,2024-09-30 23:06:59,2024-09-30 23:06:59,,2024-09-30 23:05:36,believe,1968,female,white,,degree_associate,,employed_over40,democratic,detached,,own,3,75_to_100,2024-09-30 23:06:59
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523461,141365,29,2024-09-30 23:06:04,2024-09-30 23:07:28,2024-09-30 23:07:28,,2024-09-30 23:06:05,believe,1973,female,white,,degree_bs,,employed_over40,republican,detached,,own,4,150_to_200,2024-09-30 23:07:28
VvQHLx2tmoDDhmJiFQkPQmGJ2yPLXtUxJENPjnKiko0LLpN2QXZSowvezIlk51EI,35523463,141365,30,2024-09-30 23:06:08,2024-09-30 23:06:57,2024-09-30 23:06:58,,2024-09-30 23:06:08,believe,1969,male,black,,degree_grad,,employed_over40,republican,detached,,own,3,300_to_400,2024-09-30 23:06:58
zX9r9Q1RRMSg2gqFLw3KSj9OYWDMR_-sheizSIdXCdCFKYhdFSiOSl6i22DTSYJt,35523468,141365,31,2024-09-30 23:06:29,2024-09-30 23:08:11,2024-09-30 23:08:11,,2024-09-30 23:06:29,neutral,1989,male,white,,degree_bs,,employed_over40,republican,apartment,,own,4,50_to_75,2024-09-30 23:08:11
h9hm_jQ1cGJ1qnHDy62PQg5Yg4RCVB_SJCD6mpnCuGXBNfMLbBgYc0xMudv7h5rn,35523472,141365,32,2024-09-30 23:06:39,2024-09-30 23:08:38,2024-09-30 23:08:38,,2024-09-30 23:06:40,believe,1977,male,white,,degree_grad,,employed_over40,republican,detached,,own,4,150_to_200,2024-09-30 23:08:38
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523509,141365,33,2024-09-30 23:08:37,2024-09-30 23:10:04,2024-09-30 23:10:04,,2024-09-30 23:08:38,believe,1986,female,white,,degree_grad,,employed_over40,democratic,detached,,own,4,200_to_250,2024-09-30 23:10:04
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523512,141365,34,2024-09-30 23:08:45,2024-09-30 23:10:14,2024-09-30 23:10:15,,2024-09-30 23:08:45,very,1988,female,white,,degree_grad,,employed_under40,democratic,detached,,own,4,100_to_150,2024-09-30 23:10:14
RvUPhJ-4kC5dySw7_PeNIkTxJ2WeObGxcfDTHLUEXpJT5te0QgiVbRU8YOkIh1OK,35523562,141365,35,2024-09-30 23:10:29,2024-09-30 23:11:07,2024-09-30 23:11:08,,2024-09-30 23:10:30,somewhat,2002,non_bi,white,,hs,,student,democratic,apartment,,rent,2,25_to_35,2024-09-30 23:11:08
FKahU5Wh2RwmWyWeKDp1dPdDrcu4N-OQbtdhYjUKcYXu6QurakRuAD8BZgQ-wyIu,35523563,141365,36,2024-09-30 23:10:32,2024-09-30 23:11:28,2024-09-30 23:11:28,,2024-09-30 23:10:32,very,1943,male,white,,degree_grad,,retired,independent,detached,,own,2,100_to_150,2024-09-30 23:11:28
MT5QYR8Lz0ACE5LdFQlDh4MCoRAVXbCNXpc87QjbbtNvFXQUakdFUufncDa8xTfP,35523570,141365,37,2024-09-30 23:10:43,2024-09-30 23:11:26,2024-09-30 23:11:27,,2024-09-30 23:10:43,believe,1990,male,white,,degree_associate,,employed_over40,independent,detached,,rent,1,50_to_75,2024-09-30 23:11:27
mdDl3wMlG1qrRAAabSxgimCiqbJS3iMytnFcgPlqt4bxhUiyAi2J1FTFIKxa8dNR,35523627,141365,38,2024-09-30 23:12:41,2024-09-30 23:13:39,2024-09-30 23:13:40,,2024-09-30 23:12:41,very,1956,male,hispanic,,college_some,,retired,democratic,detached,,own,2,75_to_100,2024-09-30 23:13:39
e5Q3JOF6kI936WzopLk8QULEpcL0JkaBTzlTe3Q3bGEZ4hObT3gHgadWRu6OYSYt,35523637,141365,39,2024-09-30 23:12:57,2024-09-30 23:13:39,2024-09-30 23:13:40,,2024-09-30 23:12:57,believe,1953,male,white,,degree_bs,,employed_under40,independent,detached,,own,2,150_to_200,2024-09-30 23:13:39
1pZE7Fs3qx9rnJEJ5EqKInBIM6LpByP7NrnwMVkkgVR-WEGiEo_iqdlb71oESKTO,35523657,141365,40,2024-09-30 23:14:04,2024-09-30 23:14:57,2024-09-30 23:14:57,,2024-09-30 23:14:04,believe,1984,female,white,,degree_bs,,student,republican,apartment,,own,3,75_to_100,2024-09-30 23:14:57
IFaXiO1HwUFMhRSoHJWaSj-YgIP6GlcjndVojThnZ3mjH_hyQLZ2ydBQl3KLQjI5,35523658,141365,41,2024-09-30 23:14:08,2024-09-30 23:15:39,2024-09-30 23:15:39,,2024-09-30 23:14:08,very,1947,male,white,,degree_grad,,employed_under40,democratic,detached,,own,1,100_to_150,2024-09-30 23:15:39
pjZtkvUBESglafCnrudLTAPCUPkTlVe--tX79v20XIXjk-e0y-errOCvN4GY8lzP,35523682,141365,42,2024-09-30 23:15:41,2024-09-30 23:16:53,2024-09-30 23:16:54,,2024-09-30 23:15:42,very,1951,female,white,,degree_grad,,employed_under40,democratic,apartment,,own,3,over_400,2024-09-30 23:16:54
fFWBbI5toBUY4hiM8espbt3NVHMyHB8BZzsyGEkc2bl5wdH-gbDRXeI5_BFcWUUs,35523693,141365,43,2024-09-30 23:16:05,2024-09-30 23:16:45,2024-09-30 23:16:45,,2024-09-30 23:16:05,not,2000,male,white,,degree_grad,,employed_over40,republican,detached,,own,3,over_400,2024-09-30 23:16:45
AwBKpvU6x7ofl1du3pJTUxcX-kPMCybuRCxJMmZ3rvQD2aW1BpvrQjHgJIKcvsbX,35523706,141365,44,2024-09-30 23:17:05,2024-09-30 23:18:30,2024-09-30 23:18:31,,2024-09-30 23:17:05,believe,1973,male,white,,college_some,,employed_under40,republican,detached,,own,4,50_to_75,2024-09-30 23:18:30
iUdN1rS81nIe4-tWCdJXZ7EKWbNG6whPUDQTfv22CmfmJTpjo3N0Zlqougn55-72,35523710,141365,45,2024-09-30 23:17:17,2024-09-30 23:18:35,2024-09-30 23:18:36,,2024-09-30 23:17:17,very,1986,male,white,,degree_grad,,employed_under40,democratic,detached,,own,4,100_to_150,2024-09-30 23:18:35
EDLQDZ-W1gD771HX1HiBQ9QYfo5pz9B8oBQdWufBlILeSz9e_7jtapsMDiYMby8Q,35523716,141365,46,2024-09-30 23:17:25,2024-09-30 23:18:03,2024-09-30 23:18:03,,2024-09-30 23:17:25,believe,1973,female,asian,,degree_bs,,employed_under40,democratic,detached,,own,4,100_to_150,2024-09-30 23:18:03
kSdv89ssZZkrrCF786TK63PRYdX1cWPCLju323RsdSzXOD83nAhlTx-mGu2Cc28o,35523728,141365,47,2024-09-30 23:17:47,2024-09-30 23:18:42,2024-09-30 23:18:43,,2024-09-30 23:17:47,not,1969,female,asian,,degree_grad,,employed_over40,independent,detached,,own,2,250_to_300,2024-09-30 23:18:42
GozdmwEEH0ZQizbCvXi8dDen4pcm6Z2enIkaPmEy8st0lcKmyDaMGozJsL3bkpv3,35523745,141365,48,2024-09-30 23:18:54,2024-09-30 23:20:57,2024-09-30 23:20:57,,2024-09-30 23:18:54,very,1993,female,white,,hs,,employed_over40,independent,detached,,own,2,50_to_75,2024-09-30 23:20:57
LLlbgdruUZOx0I8YHHkNQW_6R0_2iqeQzZi_mYPsoL4m2JLwvjdzONPLGspr25OG,35523754,141365,49,2024-09-30 23:19:27,2024-09-30 23:20:29,2024-09-30 23:20:29,,2024-09-30 23:19:27,very,1974,male,white,,degree_bs,,employed_under40,democratic,detached,,own,2,300_to_400,2024-09-30 23:20:29
CPKt6374uQQ6beFboGYLMvIkmWtr6uxKqb9nbx-BH7OuFB25tLKhGZRMSQQzJvW5,35523773,141365,50,2024-09-30 23:20:34,2024-09-30 23:21:53,2024-09-30 23:21:53,,2024-09-30 23:20:34,believe,1951,male,white,,degree_grad,,retired,independent,detached,,own,2,200_to_250,2024-09-30 23:21:53
QdJkQJYbu7Rfr4tr5KHf_8fMLqWhIxYlCs35FOz6G6BjFQLZe5_MiLIuvpnMWRwv,35523805,141365,51,2024-09-30 23:24:11,2024-09-30 23:25:29,2024-09-30 23:25:29,,2024-09-30 23:24:11,very,1979,male,hispanic,,degree_bs,,employed_over40,republican,detached,,own,4,150_to_200,2024-09-30 23:25:29
OL0BRcS5byQymtDDf3qUHoxWqIjbqgdX9-2aCHYU7CHD-cdrE9vbqeCeFEIly6f7,35523811,141365,52,2024-09-30 23:25:30,2024-09-30 23:26:59,2024-09-30 23:26:59,,2024-09-30 23:25:30,believe,1988,female,white,,degree_grad,,employed_under40,democratic,townhome,,own,4,150_to_200,2024-09-30 23:26:59
qz-QbVeSReBCkdX5_Ni3ceESnqcAjCfTNKv7apPahbgqA2dP0YxJ4UVwWljMnCoS,35523836,141365,53,2024-09-30 23:29:02,2024-09-30 23:30:35,2024-09-30 23:30:35,,2024-09-30 23:29:02,very,1979,female,hispanic,,degree_bs,,employed_over40,independent,detached,,own,4,100_to_150,2024-09-30 23:30:35
2xmOcS6NZWyc_Aq6hvqGaZ9azd9-1e-X1mvv2igDtC464AonMzawhUq_5cGgE2Y-,35523846,141365,54,2024-09-30 23:30:25,2024-09-30 23:32:56,2024-09-30 23:32:56,,2024-09-30 23:30:26,very,1973,female,white,,degree_grad,,employed_over40,republican,detached,,own,4,prefer_not_say,2024-09-30 23:32:56
GwR3yVLOrXMIdYam_F9b1Cj6JhOoHle7iRlRbvBWWEK-Fkq044aufB_8MkL8tAmI,35523912,141365,55,2024-09-30 23:36:23,2024-09-30 23:37:05,2024-09-30 23:37:05,,2024-09-30 23:36:23,believe,1975,male,white,,degree_grad,,not_employed_yes_looking,democratic,detached,,own,3,150_to_200,2024-09-30 23:37:05
BEUIXn84DYH7DLBdx5DFZyxNSDuItNYY8k-IXhqV6D5OpnWbwx1bMOLuyxeZ18rO,35523961,141365,56,2024-09-30 23:41:26,2024-09-30 23:42:21,2024-09-30 23:42:21,,2024-09-30 23:41:26,neutral,1981,female,asian,,degree_bs,,employed_under40,democratic,detached,,rent,4,75_to_100,2024-09-30 23:42:21
k1V0ZNRuzQO7NJg07GIi3Oq-EDxWUvoY-MC0G25y_KbgXsKu_rjqmIICxInkK5wl,35523972,141365,57,2024-09-30 23:42:56,2024-09-30 23:44:02,2024-09-30 23:44:02,,2024-09-30 23:42:56,believe,1979,male,white,,degree_bs,,employed_over40,republican,detached,,own,2,150_to_200,2024-09-30 23:44:02
Qi88WmtEVDBq1QkEeYGygRpE2iHoKZqgMOO4l2GdFuGHCkeHHvkzQ8VOLWEd5_7c,35523983,141365,58,2024-09-30 23:44:28,2024-09-30 23:45:40,2024-09-30 23:45:40,,2024-09-30 23:44:28,believe,1994,male,white,,degree_grad,,employed_under40,democratic,detached,,own,4,150_to_200,2024-09-30 23:45:40
ucJsp8Nc6yFB3GmlkFzbV_GgNnlMujPsHoqVJtFAHnD7qb-Akg1_sv-dZu9LvtLn,35524002,141365,59,2024-09-30 23:46:55,2024-09-30 23:47:46,2024-09-30 23:47:47,,2024-09-30 23:46:55,believe,1988,female,asian,,degree_grad,,employed_under40,democratic,detached,,own,5_or_more,150_to_200,2024-09-30 23:47:46
nyZBVVasdjfijIqk4dcv-cC54ezTExrHn595Wj2i3V5ko2YLC2Y59suIN_PX-abK,35538741,141365,60,2024-10-02 00:33:51,2024-10-02 00:34:34,2024-10-02 00:34:36,,2024-10-02 00:33:52,believe,1991,female,white,,degree_grad,,employed_under40,democratic,detached,,own,3,100_to_150,2024-10-02 00:34:36
hBwqSzvbecohOsNnWYhNWybIVuKmnOh_fg3SSjtpSZGvr06apCpfJWTf1yU1gEeK,35538821,141365,61,2024-10-02 00:37:31,2024-10-02 00:38:15,2024-10-02 00:38:16,,2024-10-02 00:37:32,somewhat,1959,female,white,,degree_bs,,employed_over40,republican,detached,,own,2,150_to_200,2024-10-02 00:38:16
JGPgA76tF5uyIJfRvkshDv9Utz_QDOh2PjrD2yqNsJ5A8U6cIeMqd2Ecvly7Vq0X,35538829,141365,62,2024-10-02 00:38:04,2024-10-02 00:39:05,2024-10-02 00:39:06,,2024-10-02 00:38:05,believe,1992,female,hispanic,,college_some,,not_employed_not_looking,prefer_not_say,detached,,own,3,75_to_100,2024-10-02 00:39:06
PxdG2Ibd_YFprO1qfzSu9vGMNa4AlMai5HOntEtnISTDc5F8CMPY3L6Z5QbzxNNP,35538834,141365,63,2024-10-02 00:38:17,2024-10-02 00:39:08,2024-10-02 00:39:09,,2024-10-02 00:38:18,believe,1993,male,white,,hs,,employed_over40,republican,apartment,,rent,1,50_to_75,2024-10-02 00:39:09
SFmkRGcJc1Ve6bZUNSQ50_1pwEPOBp5OjTBdhyzJYB2Bm0VvM6ZXCaVLkL-DOt_p,35538851,141365,64,2024-10-02 00:39:24,2024-10-02 00:40:32,2024-10-02 00:40:33,,2024-10-02 00:39:26,very,1964,male,white,,degree_grad,,retired,democratic,detached,,own,2,100_to_150,2024-10-02 00:40:33
1s4BI8U-dW-crot3OORutn3Ip5qESoNuzUG8fGAgLFCNO7wPxl7LUwQXTtltIZGQ,35538853,141365,65,2024-10-02 00:39:28,2024-10-02 00:40:35,2024-10-02 00:40:37,,2024-10-02 00:39:30,believe,1966,non_bi,white,,degree_associate,,employed_over40,democratic,detached,,own,2,35_to_50,2024-10-02 00:40:37
o1BhFSvlIJ13ZRzzHxtUwubBzeGnAhmtKlky_8oYjICO-9e6eNs205effyaY3rVc,35538858,141365,66,2024-10-02 00:39:46,2024-10-02 00:40:34,2024-10-02 00:40:36,,2024-10-02 00:39:48,very,1964,male,white,,degree_bs,,employed_over40,democratic,detached,,own,1,100_to_150,2024-10-02 00:40:36
Tq7GZUedtjmDJGNsIxC6ds7PXFqrTLKn6JyP3No_InybWCtG52h1o16i5bOFhaOE,35538907,141365,67,2024-10-02 00:41:34,2024-10-02 00:42:10,2024-10-02 00:42:12,,2024-10-02 00:41:36,somewhat,1984,female,white,,college_some,,employed_under40,republican,detached,,own,3,75_to_100,2024-10-02 00:42:12
bIa9NKcm6RI_5Dqsz6rkpqq05r9GBi98WZZd3L1mjqqT2U_fh1rKhaCqU-MgPb4C,35538931,141365,68,2024-10-02 00:43:00,2024-10-02 00:43:44,2024-10-02 00:43:46,,2024-10-02 00:43:01,believe,1966,male,white,,degree_grad,,employed_under40,independent,detached,,own,2,200_to_250,2024-10-02 00:43:46
lWA8Ll5HHjJfD7qrqhkd_f9jPsnZIUkowwsYhWidyx10C0TAerys0l_hruXJcCdd,35539036,141365,69,2024-10-02 00:47:12,2024-10-02 00:48:09,2024-10-02 00:48:11,,2024-10-02 00:47:14,very,1973,male,white,,degree_grad,,employed_over40,independent,condo,,own,1,75_to_100,2024-10-02 00:48:11
bpCGajVU63ro7RadpfDXQMRgQZ-rGjPMdnuIFtpNlXMe6ejV73GNMDQ8hZrPlGmt,35539055,141365,70,2024-10-02 00:48:18,2024-10-02 00:49:25,2024-10-02 00:49:26,,2024-10-02 00:48:19,believe,1947,female,native,,degree_grad,,retired,democratic,detached,,own,2,over_400,2024-10-02 00:49:26
HIybVs9LM1U7oYYLxMsDklj-aA1JkPYpiGea2uP45z3snfjEoDJzEgjodBsWs4sW,35539062,141365,71,2024-10-02 00:48:39,2024-10-02 00:49:31,2024-10-02 00:49:33,,2024-10-02 00:48:40,very,1945,female,white,,degree_grad,,retired,democratic,townhome,,rent,3,150_to_200,2024-10-02 00:49:33
thA9GKOXR18OhsZK-lwgo8WA2wFSGKvcFvZoiIS-iAajshqHWO8UGwlMgKCHrRwm,35539082,141365,72,2024-10-02 00:49:13,2024-10-02 00:50:17,2024-10-02 00:50:19,,2024-10-02 00:49:15,believe,2005,male,white,,hs,,employed_under40,democratic,apartment,,rent,2,100_to_150,2024-10-02 00:50:19
iVHAaJFGkWGZuOJiwXy4wzPDzIQAf-L9-6elFyACPqJ72XYeLmui1XhZIEL4su0u,35539100,141365,73,2024-10-02 00:49:58,2024-10-02 00:50:50,2024-10-02 00:50:51,,2024-10-02 00:50:00,believe,1990,male,white,,degree_bs,,employed_over40,republican,detached,,own,4,100_to_150,2024-10-02 00:50:51
XkdU7Gd0pZCj_Jd-g03dBd4mb1CGirdOTaG11dK3uAUSpQ9Nz9GLI4iSUdpzSqTk,35539104,141365,74,2024-10-02 00:50:04,2024-10-02 00:51:15,2024-10-02 00:51:17,,2024-10-02 00:50:05,believe,1970,female,asian,,college_some,,employed_under40,republican,detached,,own,4,200_to_250,2024-10-02 00:51:17
bK9TZC7xvwzGzcBRYuxDHRAGoRM0k_wUeujp_qTBeRmi7nXqkaAxRg2pvdfEDd4x,35539133,141365,75,2024-10-02 00:51:17,2024-10-02 00:51:55,2024-10-02 00:51:57,,2024-10-02 00:51:18,very,1972,male,asian,,degree_bs,,employed_over40,democratic,detached,,own,1,50_to_75,2024-10-02 00:51:57
zpSCmqAr7PO7CSsVi0Sgb8ytRX-lwRkE7v5Sp6uyU__3Mce8BIjAg6Rv_VQDrAb9,35539226,141365,76,2024-10-02 00:53:54,2024-10-02 00:54:47,2024-10-02 00:54:48,,2024-10-02 00:53:56,very,1948,male,white,,degree_grad,,retired,democratic,detached,,own,2,150_to_200,2024-10-02 00:54:48
drz87tnxlJ29YzjmVHuOXFUNzBaPZ1P6Tm1uHQUmaR2mql7BUEwtQ4_IveQsTMMr,35539260,141365,77,2024-10-02 00:55:22,2024-10-02 00:56:14,2024-10-02 00:56:16,,2024-10-02 00:55:23,believe,1961,male,white,,hs,,employed_under40,republican,detached,,own,3,below_25,2024-10-02 00:56:16
UYzTX2hyCdEO0h3WAPKOK2zdUfw2FnkAvjDCNsPwD8hEzpqBx6VgaynHozviq3dW,35539262,141365,78,2024-10-02 00:55:25,2024-10-02 00:56:04,2024-10-02 00:56:06,,2024-10-02 00:55:27,believe,1978,male,asian,,college_some,,employed_over40,republican,townhome,,own,4,35_to_50,2024-10-02 00:56:05
wGA5Euzt2rHMjxWyEawi4qO1LJ8AnelbaBpRgiKDc3V4RC06hFwF42NexeaOkyxN,35539289,141365,79,2024-10-02 00:57:03,2024-10-02 00:57:52,2024-10-02 00:57:54,,2024-10-02 00:57:05,believe,1947,female,white,,hs,,retired,republican,detached,,own,2,100_to_150,2024-10-02 00:57:53
1MFoGYl1sm4S6xMpHoOghME9pLJETqcpPBEZ_f8zlGvNdz4g9zJsYaaRknV3UY-D,35539334,141365,80,2024-10-02 01:01:57,2024-10-02 01:04:01,2024-10-02 01:04:03,,2024-10-02 01:01:59,believe,1955,female,white,,degree_bs,,retired,independent,detached,,own,2,prefer_not_say,2024-10-02 01:04:03
j06ZH6DW8cktuZArzZroG04Ut3AmieAkCiqnhI4nkNEdWCGeVmo0HIYWGPd4djEV,35539336,141365,81,2024-10-02 01:02:01,2024-10-02 01:02:56,2024-10-02 01:02:58,,2024-10-02 01:02:02,somewhat,1985,female,white,,degree_bs,,employed_under40,republican,detached,,own,5_or_more,150_to_200,2024-10-02 01:02:58
MlQIgPwmZY4Ufv0gBvPhx8wVUbUYKLJDez-8f_UAvNo4dtGdZxShG_EERg67U6-c,35539357,141365,82,2024-10-02 01:04:43,2024-10-02 01:05:30,2024-10-02 01:05:32,,2024-10-02 01:04:44,neutral,1973,female,asian,,degree_grad,,employed_under40,prefer_not_say,condo,,own,1,prefer_not_say,2024-10-02 01:05:32
06BkJBE8n5Gv-DUPpzWy_b6NmKzlCXesA41bkuBvWHUHGILYLsbP9zsaumm90f0P,35539384,141365,83,2024-10-02 01:07:50,2024-10-02 01:09:23,2024-10-02 01:09:26,,2024-10-02 01:07:52,believe,1991,female,white,,degree_grad,,employed_over40,independent,townhome,,rent,2,200_to_250,2024-10-02 01:09:25
opY5IETq40kvb9F3YclaLlholmCwAUoRirpzoysPX86UdLI5_5msY6ASjkOGPEAk,35539422,141365,84,2024-10-02 01:11:59,2024-10-02 01:13:01,2024-10-02 01:13:03,,2024-10-02 01:12:00,very,1952,female,white,,degree_grad,,retired,independent,detached,,own,2,200_to_250,2024-10-02 01:13:02
