session,session_id,study_id,iteration,created,modified,ended,expired,time_0b_start,plan_bev,mc_bev_make,mc_bev_audi,mc_bev_bmw,mc_bev_cadillac,mc_bev_chevrolet,mc_bev_fiat,mc_bev_ford,mc_bev_genesis,mc_bev_gmc,mc_bev_honda,mc_bev_hyundai,mc_bev_jaguar,mc_bev_kia,mc_bev_lexus,mc_bev_lucid,mc_bev_mazda,mc_bev_mercedes_benz,mc_bev_mini,mc_bev_mitsubishi,mc_bev_nissan,mc_bev_polestar,mc_bev_porsche,mc_bev_rivian,mc_bev_subaru,mc_bev_tesla,mc_bev_toyota,mc_bev_vin_fast,mc_bev_volkswagen,mc_bev_volvo,mc_bev_year,user_model,user_bev,time_0b_end
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523397,148526,48,2024-09-30 23:03:26,2024-09-30 23:04:10,2024-09-30 23:04:11,,2024-09-30 23:03:26,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2023,model_s,tesla_model_s,2024-09-30 23:04:11
RvUPhJ-4kC5dySw7_PeNIkTxJ2WeObGxcfDTHLUEXpJT5te0QgiVbRU8YOkIh1OK,35523475,148526,49,2024-09-30 23:06:47,2024-09-30 23:07:02,2024-09-30 23:07:03,,2024-09-30 23:06:47,yes,bmw,,i_5,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,i_5,bmw_i_5,2024-09-30 23:07:03
QdJkQJYbu7Rfr4tr5KHf_8fMLqWhIxYlCs35FOz6G6BjFQLZe5_MiLIuvpnMWRwv,35523519,148526,50,2024-09-30 23:09:05,2024-09-30 23:09:43,2024-09-30 23:09:44,,2024-09-30 23:09:06,yes,gmc,,,,,,,,hummer_ev,,,,,,,,,,,,,,,,,,,,,2021,hummer_ev,gmc_hummer_ev,2024-09-30 23:09:44
1pZE7Fs3qx9rnJEJ5EqKInBIM6LpByP7NrnwMVkkgVR-WEGiEo_iqdlb71oESKTO,35523556,148526,51,2024-09-30 23:10:18,2024-09-30 23:10:48,2024-09-30 23:10:49,,2024-09-30 23:10:19,yes,toyota,,,,,,,,,,,,,,,,,,,,,,,,,b_z_4_x,,,,2024,b_z_4_x,toyota_b_z_4_x,2024-09-30 23:10:49
AwBKpvU6x7ofl1du3pJTUxcX-kPMCybuRCxJMmZ3rvQD2aW1BpvrQjHgJIKcvsbX,35523577,148526,52,2024-09-30 23:10:50,2024-09-30 23:11:29,2024-09-30 23:11:30,,2024-09-30 23:10:51,yes,ford,,,,,,f_150_lightning,,,,,,,,,,,,,,,,,,,,,,,2022,f_150_lightning,ford_f_150_lightning,2024-09-30 23:11:30
iUdN1rS81nIe4-tWCdJXZ7EKWbNG6whPUDQTfv22CmfmJTpjo3N0Zlqougn55-72,35523585,148526,53,2024-09-30 23:11:25,2024-09-30 23:11:53,2024-09-30 23:11:54,,2024-09-30 23:11:25,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_x,,,,,2024,model_x,tesla_model_x,2024-09-30 23:11:54
2xmOcS6NZWyc_Aq6hvqGaZ9azd9-1e-X1mvv2igDtC464AonMzawhUq_5cGgE2Y-,35523688,148526,54,2024-09-30 23:15:49,2024-09-30 23:16:43,2024-09-30 23:16:43,,2024-09-30 23:15:49,yes,lexus,,,,,,,,,,,,,rz_450_e,,,,,,,,,,,,,,,,2024,rz_450_e,lexus_rz_450_e,2024-09-30 23:16:43
OL0BRcS5byQymtDDf3qUHoxWqIjbqgdX9-2aCHYU7CHD-cdrE9vbqeCeFEIly6f7,35523762,148526,55,2024-09-30 23:19:35,2024-09-30 23:20:25,2024-09-30 23:20:26,,2024-09-30 23:19:36,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_x,,,,,2022,model_x,tesla_model_x,2024-09-30 23:20:26
d9V-oHFtJS_kJHkA44UUBL93jsPc-EpBSKIqJMhpaOApGbAItSl4oVPcw4SEdwa5,35523932,148526,56,2024-09-30 23:37:37,2024-09-30 23:38:00,2024-09-30 23:38:01,,2024-09-30 23:37:37,yes,honda,,,,,,,,,clarity,,,,,,,,,,,,,,,,,,,,2023,clarity,honda_clarity,2024-09-30 23:38:00
BEUIXn84DYH7DLBdx5DFZyxNSDuItNYY8k-IXhqV6D5OpnWbwx1bMOLuyxeZ18rO,35523943,148526,57,2024-09-30 23:38:20,2024-09-30 23:38:38,2024-09-30 23:38:38,,2024-09-30 23:38:20,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_y,,,,,2020,model_y,tesla_model_y,2024-09-30 23:38:38
tA1CPCOQeJB0S3hrCCgPlzQY1K-XrAeLG-2wUG98z8uShRLdnwXclJxb5MrrENG9,35538704,148526,58,2024-10-02 00:27:39,2024-10-02 00:27:49,2024-10-02 00:27:50,,2024-10-02 00:27:39,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 00:27:49
1s4BI8U-dW-crot3OORutn3Ip5qESoNuzUG8fGAgLFCNO7wPxl7LUwQXTtltIZGQ,35538780,148526,59,2024-10-02 00:35:23,2024-10-02 00:35:48,2024-10-02 00:35:50,,2024-10-02 00:35:24,yes,chevrolet,,,,blazer_ev,,,,,,,,,,,,,,,,,,,,,,,,,2024,blazer_ev,chevrolet_blazer_ev,2024-10-02 00:35:50
EdxS85MxQS3as4gZaa_9dDMu7NxL_hiHSCGcdgglRxvpLixnk5O4lptADw9nOQBV,35538861,148526,60,2024-10-02 00:39:48,2024-10-02 00:42:32,2024-10-02 00:42:34,,2024-10-02 00:39:49,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 00:42:34
1rmVA2Ik7CW56DHmIWLh3sI3ytBe-Fgmh6Zx5RKFvLd4ThaZ2fU7cRhSSzgeWCBk,35539090,148526,61,2024-10-02 00:49:38,2024-10-02 00:49:44,2024-10-02 00:49:46,,2024-10-02 00:49:40,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 00:49:45
0CK8WBsM-1BhMCbhW9BKSMtznqkLGQHS8qpaw6QjlQFC6pcToI8VsCRckV0Vus40,35539327,148526,62,2024-10-02 01:00:39,2024-10-02 01:00:43,2024-10-02 01:00:45,,2024-10-02 01:00:41,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 01:00:45
e3Ihu29Z53sa8i6pFNyMJzkxM8pdjA8v1pa_a8K2idZYEA6A5UdE7OWoa9bVn1Wr,35539479,148526,63,2024-10-02 01:18:39,2024-10-02 01:19:12,2024-10-02 01:19:14,,2024-10-02 01:18:41,yes,hyundai,,,,,,,,,,ioniq_5,,,,,,,,,,,,,,,,,,,2024,ioniq_5,hyundai_ioniq_5,2024-10-02 01:19:14
G9Uyda6N_2HvKLuE8fj2Vn-jpZD_c66DwjlccPvPQZLZu-GTnj6h6pycIEGbYssS,35539507,148526,64,2024-10-02 01:21:01,2024-10-02 01:21:27,2024-10-02 01:21:29,,2024-10-02 01:21:03,yes,cadillac,,,lyriq,,,,,,,,,,,,,,,,,,,,,,,,,,2023,lyriq,cadillac_lyriq,2024-10-02 01:21:29
Zeys-UdTdY63qnYnyk8APc6BsL59L8QAS7cUuMDPRdYhkdF4fdgpzcKz0sWkC9uP,35539603,148526,65,2024-10-02 01:27:32,2024-10-02 01:27:44,2024-10-02 01:27:44,,2024-10-02 01:27:32,yes,honda,,,,,,,,,clarity,,,,,,,,,,,,,,,,,,,,2023,clarity,honda_clarity,2024-10-02 01:27:44
oUPWk8_JNtNG5x2JosCjdCgtgc33ivnj4jRvYeaiX1IQfki21gPJVmUW8onjudk3,35539650,148526,66,2024-10-02 01:31:14,2024-10-02 01:31:35,2024-10-02 01:31:36,,2024-10-02 01:31:15,yes,chevrolet,,,,bolt_ev,,,,,,,,,,,,,,,,,,,,,,,,,2023,bolt_ev,chevrolet_bolt_ev,2024-10-02 01:31:36
i2LX1IHuOeeZ06G9tSsdxKysnyXunHLgG29biyrVhWkP5Df1M5l4XTachmGu9cCM,35539736,148526,67,2024-10-02 01:38:45,2024-10-02 01:38:54,2024-10-02 01:38:55,,2024-10-02 01:38:45,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 01:38:55
u_6LU6hUgdPLtQWo6ZyPI3bHUMJThihYxzAWp0BkuWoOHiOtyDCO_oH8XdOPMVAP,35539767,148526,68,2024-10-02 01:42:51,2024-10-02 01:42:55,2024-10-02 01:42:56,,2024-10-02 01:42:51,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 01:42:56
cLMsw_X7fceTeyhw-jU2vfYxipa4wkDmWMz8x8dzLg7k0k5Tw3IpCjcp_0ZsNoui,35539792,148526,69,2024-10-02 01:45:37,2024-10-02 01:45:45,2024-10-02 01:45:45,,2024-10-02 01:45:37,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 01:45:45
pavmhXj_vQI50BhuDkJt5KiJVVZ94L806wt2h2b_A6xSwzhZkhI9EugzIRlJpyn-,35539798,148526,70,2024-10-02 01:45:53,2024-10-02 01:46:24,2024-10-02 01:46:25,,2024-10-02 01:45:53,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2023,model_s,tesla_model_s,2024-10-02 01:46:25
WmcbfaiNza4VayBOrfDEsgY5blsTviBTfRco1kLKCeuzgviAro6PETEVjBH-saVp,35539880,148526,71,2024-10-02 01:56:11,2024-10-02 01:56:28,2024-10-02 01:56:29,,2024-10-02 01:56:11,yes,cadillac,,,lyriq,,,,,,,,,,,,,,,,,,,,,,,,,,2024,lyriq,cadillac_lyriq,2024-10-02 01:56:28
Ceig0sqA2GLG7P5jtGz4ZAJqPYntAOPUmuvmx7M6I9NPZRDSDla0uXDdmUmVzMM-,35539890,148526,72,2024-10-02 01:56:35,2024-10-02 01:56:51,2024-10-02 01:56:52,,2024-10-02 01:56:35,yes,ford,,,,,,f_150_lightning,,,,,,,,,,,,,,,,,,,,,,,2020,f_150_lightning,ford_f_150_lightning,2024-10-02 01:56:52
FIbdwgWyHXDcJCEaISKdLoHfLYDEjGMDK4xE-4JX_6jstTvNyXTpzYX3eHjznEGS,35539969,148526,73,2024-10-02 02:06:33,2024-10-02 02:06:44,2024-10-02 02:06:45,,2024-10-02 02:06:33,yes,ford,,,,,,focus_ev,,,,,,,,,,,,,,,,,,,,,,,2023,focus_ev,ford_focus_ev,2024-10-02 02:06:45
3Q8im5pGljLWaYmMjrVdutTwxL3RqUVm8_761EmiB-fX53Sxi6D_ft7c4CCBQo63,35540067,148526,74,2024-10-02 02:16:53,2024-10-02 02:17:01,2024-10-02 02:17:02,,2024-10-02 02:16:53,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 02:17:01
tbeTtpfptNgnROBdE8c2lormYieC75AfWbwW51hdA5Qx2tAGjQk8FNtSSpNXUlkA,35540090,148526,75,2024-10-02 02:18:55,2024-10-02 02:19:15,2024-10-02 02:19:16,,2024-10-02 02:18:55,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 02:19:16
s9al1MXahCEpBzEeLTFeAz-MKkkGxAwPL5ugW7mRy2jiBguYEwjf_y14KSaQ40Ov,35540151,148526,76,2024-10-02 02:30:53,2024-10-02 02:31:22,2024-10-02 02:31:23,,2024-10-02 02:30:53,yes,chevrolet,,,,blazer_ev,,,,,,,,,,,,,,,,,,,,,,,,,2023,blazer_ev,chevrolet_blazer_ev,2024-10-02 02:31:22
LkBM1K60SCfOEsSKmKRm3dysQvQCOA9AzY40NnOM1wOJHu6EWqQ5YiFYBAsRg0i0,35540195,148526,77,2024-10-02 02:37:43,2024-10-02 02:38:12,2024-10-02 02:38:13,,2024-10-02 02:37:44,yes,nissan,,,,,,,,,,,,,,,,,,,leaf,,,,,,,,,,2020,leaf,nissan_leaf,2024-10-02 02:38:13
WfDfR-Ip_lJ7DcdBUPLlkJuGqMTeFG8dUdaTs4i7Z447A8XgqGwTWYUSQiTw801P,35540220,148526,78,2024-10-02 02:40:07,2024-10-02 02:40:23,2024-10-02 02:40:24,,2024-10-02 02:40:08,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_y,,,,,2022,model_y,tesla_model_y,2024-10-02 02:40:24
yyUDJR6BVhiTbjQYvNn0kwUV6adDaH8sA4-9QXGNfqlge14dytZmzx6K3R0HSuY6,35540293,148526,79,2024-10-02 02:48:22,2024-10-02 02:48:34,2024-10-02 02:48:36,,2024-10-02 02:48:22,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 02:48:35
uOTEdr1dvI_12zJhKiKfjstNV5EdqPSyeGsLwPBCM8r0W44zJJpokYpZRdPgnsKX,35540324,148526,80,2024-10-02 02:53:26,2024-10-02 02:53:46,2024-10-02 02:53:48,,2024-10-02 02:53:26,yes,toyota,,,,,,,,,,,,,,,,,,,,,,,,,b_z_4_x,,,,2023,b_z_4_x,toyota_b_z_4_x,2024-10-02 02:53:47
8mdzmgnT5cEGPkJclATwc7dTtnk7jtqKWmvkw2Qt2l0UAF3qLFtPanVrNv7gU-dq,35540337,148526,81,2024-10-02 02:54:34,2024-10-02 02:54:41,2024-10-02 02:54:42,,2024-10-02 02:54:34,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 02:54:42
rgQidNMz5wSk6iyG49q3s0NLvWfLYvn_JsxM2oktK2PuDxfw_zjnVUaOYqq5lgXK,35540416,148526,82,2024-10-02 03:03:46,2024-10-02 03:03:57,2024-10-02 03:03:58,,2024-10-02 03:03:47,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 03:03:57
zbxt5WrXv5-kTRTBTbBD3M-lvyZiilnck1Dg_T6kT8lHBg0mgOwx97IPiULPOdaa,35540449,148526,83,2024-10-02 03:10:17,2024-10-02 03:11:35,2024-10-02 03:11:36,,2024-10-02 03:10:18,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2023,model_s,tesla_model_s,2024-10-02 03:11:36
3JpQXwZA4ABDXHOEN7EtTX431uUKXV3oqTDzaGo4WqKum8C60X0rson3fUz3whg8,35540459,148526,84,2024-10-02 03:10:48,2024-10-02 03:11:18,2024-10-02 03:11:20,,2024-10-02 03:10:49,yes,lucid,,,,,,,,,,,,,,air,,,,,,,,,,,,,,,2024,air,lucid_air,2024-10-02 03:11:19
scGlgZbmiX-Ef9zMfpjxhl23PKAK8LlpUEuDWH0PrLKee9DQZNFIoqUij1JirzJn,35540467,148526,85,2024-10-02 03:11:10,2024-10-02 03:11:19,2024-10-02 03:11:20,,2024-10-02 03:11:11,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 03:11:19
tZ4hHexNvqVW9_Da0m-llkFfwmHZJcr2lsvdEYCL3v8KRQWB8NmrLm47uh0xY5Nm,35540651,148526,86,2024-10-02 03:32:31,2024-10-02 03:34:17,2024-10-02 03:34:18,,2024-10-02 03:32:34,yes,lexus,,,,,,,,,,,,,rz_450_e,,,,,,,,,,,,,,,,2024,rz_450_e,lexus_rz_450_e,2024-10-02 03:34:18
uliYrI8KhO9_HvbtWGpH4tJLyJGdZCpN01k6tKfVs7ollIju6tYmFCSNiKO9CPBL,35540781,148526,87,2024-10-02 03:55:32,2024-10-02 03:55:39,2024-10-02 03:55:40,,2024-10-02 03:55:32,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 03:55:40
ast5xMs7xkvekUqNb8oIWdzauoIfLrorNnNpkH0kXNFQG9O-PDpNoxTF8_1B7vNn,35540944,148526,88,2024-10-02 04:23:41,2024-10-02 04:24:07,2024-10-02 04:24:08,,2024-10-02 04:23:41,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,2020,model_3,tesla_model_3,2024-10-02 04:24:08
YdyyXAJLxY-lkSzZR0cTWWN8gqW-J-Aeg1c419GPuVaqixGNsv4-JMYd6pgAsZPw,35541053,148526,89,2024-10-02 04:41:48,2024-10-02 04:42:14,2024-10-02 04:42:15,,2024-10-02 04:41:49,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_x,,,,,2024,model_x,tesla_model_x,2024-10-02 04:42:15
OXxyJBzypDCtrj__1t8CPA_XzgcxKwA-fQ5WlNmYp_1KiZOyObj8TwbOZatoyskW,35541087,148526,90,2024-10-02 04:45:50,2024-10-02 04:46:16,2024-10-02 04:46:17,,2024-10-02 04:45:51,yes,hyundai,,,,,,,,,,ioniq_electric,,,,,,,,,,,,,,,,,,,2020,ioniq_electric,hyundai_ioniq_electric,2024-10-02 04:46:17
sDVHnV_NH6-xsZXQm2ds8JrZVdfsZBMIdpzvEVf2ig55EcWSMIJcm3rv_-YuxdoO,35541097,148526,91,2024-10-02 04:47:15,2024-10-02 04:47:32,2024-10-02 04:47:33,,2024-10-02 04:47:16,yes,cadillac,,,lyriq,,,,,,,,,,,,,,,,,,,,,,,,,,2024,lyriq,cadillac_lyriq,2024-10-02 04:47:32
pxOrhC9QH3x0292vLwQakm6d0xQpi371HWcFc6LBSI0pHpvETsbLJCdUhJAJXoaG,35541332,148526,92,2024-10-02 05:25:05,2024-10-02 05:25:32,2024-10-02 05:25:33,,2024-10-02 05:25:05,yes,lexus,,,,,,,,,,,,,rz_450_e,,,,,,,,,,,,,,,,2021,rz_450_e,lexus_rz_450_e,2024-10-02 05:25:32
403cZwTO2ewBeCLONr1PyuEZoYIAobWQGFM4Z75H837kR8M0djCqZL6T2V1scCBY,35541337,148526,93,2024-10-02 05:25:36,2024-10-02 05:25:42,2024-10-02 05:25:43,,2024-10-02 05:25:36,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 05:25:43
q7fc5c7v5m_XIDPcPEmKeENrdzT0zpRuTvlZwUd9Gglm_DKhAxDS5GaxstlMUSG0,35541480,148526,94,2024-10-02 05:59:07,2024-10-02 05:59:19,2024-10-02 05:59:20,,2024-10-02 05:59:07,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 05:59:20
IT_S1Cp_CYpTVvwmZvoaXlDpJDJ_rkzZI4y8Al2b-2sXJPx8YEdYvxEj3bN9DNmj,35541503,148526,95,2024-10-02 06:01:54,2024-10-02 06:02:30,2024-10-02 06:02:31,,2024-10-02 06:01:54,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,2024,model_3,tesla_model_3,2024-10-02 06:02:31
6cBmGkwxTFssAkGjCpa5ppRxnBHaPpIk0SWcTTkjIivnbwWSr-MVAITLdadNRgbd,35541591,148526,96,2024-10-02 06:21:25,2024-10-02 06:21:34,2024-10-02 06:21:35,,2024-10-02 06:21:26,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 06:21:35
spUfohxHLoEuSQBF7qNbf53yrZaXhc7u65u95lF9xK8037HrOzz13_qydJrb2s8K,35541959,148526,97,2024-10-02 06:58:50,2024-10-02 06:59:29,2024-10-02 06:59:30,,2024-10-02 06:58:50,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_x,,,,,2023,model_x,tesla_model_x,2024-10-02 06:59:30
-d-_1ZFKOfRhRT53I2djqUIlQQtRi6_Mi8dSIipCbok6yt8KafpPQ8MxyQNETyLr,35542029,148526,98,2024-10-02 07:11:07,2024-10-02 07:13:11,2024-10-02 07:13:12,,2024-10-02 07:11:07,yes,toyota,,,,,,,,,,,,,,,,,,,,,,,,,b_z_4_x,,,,2023,b_z_4_x,toyota_b_z_4_x,2024-10-02 07:13:11
QFCrGNMYv_tx1tcjcS_MtPGwDTpDroAGmo2J_O6NXE8dQDeJQOvmUrYEjE6Ka_WK,35542509,148526,99,2024-10-02 08:13:09,2024-10-02 08:13:28,2024-10-02 08:13:29,,2024-10-02 08:13:09,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_s,,,,,2024,model_s,tesla_model_s,2024-10-02 08:13:28
3nyWlXdROLYgpblgapbSEiLQNmQYqPRprt-KpjaSDi3HItRx0tS4hHWsSCFLTBsn,35542602,148526,100,2024-10-02 08:23:52,2024-10-02 08:24:27,2024-10-02 08:24:28,,2024-10-02 08:23:52,yes,bmw,,i_4,,,,,,,,,,,,,,,,,,,,,,,,,,,idk,i_4,bmw_i_4,2024-10-02 08:24:27
DQxI3yjtJd1vwjrlYUUsBpsQhWa8cND5NojMmiKbVZ14SvhTR4GtA131C9pbZdLo,35542815,148526,101,2024-10-02 08:32:41,2024-10-02 08:33:12,2024-10-02 08:33:13,,2024-10-02 08:32:42,yes,tesla,,,,,,,,,,,,,,,,,,,,,,,,model_3,,,,,2024,model_3,tesla_model_3,2024-10-02 08:33:13
JFcpum_Y-PioK8Bs0SRDKGrNKjNuvSbKfZyPAL3v7uySeG-X1PjzQPY51EEegnM-,35542854,148526,102,2024-10-02 08:34:35,2024-10-02 08:34:49,2024-10-02 08:34:50,,2024-10-02 08:34:35,yes,ford,,,,,,f_150_lightning,,,,,,,,,,,,,,,,,,,,,,,2023,f_150_lightning,ford_f_150_lightning,2024-10-02 08:34:50
Y1LcbCvptoycKzMmP75GVSG-fA6sCf4Xwrn8TtOc8JpLq-mCkM6fzOt79-n6UPlm,35543071,148526,103,2024-10-02 08:57:33,2024-10-02 08:57:40,2024-10-02 08:57:41,,2024-10-02 08:57:34,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 08:57:41
x-l10c27n_g2LTcAxa6ybihJTJDHtLPkS8axCa9gy5K4fJ-yKfofKR_sQH7nKt84,35544528,148526,104,2024-10-02 11:32:42,2024-10-02 11:33:05,2024-10-02 11:33:06,,2024-10-02 11:32:42,yes,kia,,,,,,,,,,,,niro_ev,,,,,,,,,,,,,,,,,idk,niro_ev,kia_niro_ev,2024-10-02 11:33:06
rkQKSlboFdH1z8br1MXjmmJJ3Z4WmMHQ28vSlMhchxPxvQy8WmgXTRWPF_7I3ssw,35544610,148526,105,2024-10-02 11:37:18,2024-10-02 11:37:24,2024-10-02 11:37:24,,2024-10-02 11:37:18,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA_NA,2024-10-02 11:37:24
SVdFxUsxdIEcwidxnI7xpeQEamPsTeeNg3mDpF4fefc7SO7aO0ZQm9-EqaxNDNP8,35544632,148526,106,2024-10-02 11:38:22,2024-10-02 11:41:41,2024-10-02 11:41:41,,2024-10-02 11:38:22,yes,bmw,,i_7,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,i_7,bmw_i_7,2024-10-02 11:41:41
ah9tRsj-u6voxwZ5X7vMCceKKeG21-hwdgMn8fdiye8ResUKtkRQWl_6Slr9O1Jl,35545171,148526,107,2024-10-02 11:58:00,2024-10-02 11:58:24,2024-10-02 11:58:24,,2024-10-02 11:58:01,yes,bmw,,i_5,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,i_5,bmw_i_5,2024-10-02 11:58:24
