session,session_id,study_id,created,modified,ended,expired,time_1_start,user_car_1,user_car_2,user_bev,default_range,mc_commute,mc_commute_method,mc_commute_days,mc_distance,mc_parking,txt_parking,mc_neighbor,mc_max_range,mc_umc,txt_smc,mc_lv2_charger,user_range,mc_home_charge,mc_home_days,mc_home_hours,mc_work_charge,mc_work_days,mc_work_hours,time_1_end,mc_car_number,has_bev,plan_bev
JU0c347gjWXmBTavht5-9QDA3mPQzYJ7cjmSxRjW1mbryEzkoi-FiBhb4IKBVhJR,35523391,141363,2024-09-30 23:03:13,2024-09-30 23:05:39,,,2024-09-30 23:03:13,tesla_model_x,mercedes_benz_b_class_electric_drive,tesla_model_x,300,yes,"by_car, by_train, by_walk",5,10_to_30,private_garage,,yes,450,app,,yes,450,,,,,,,,2,yes,
zX9r9Q1RRMSg2gqFLw3KSj9OYWDMR_-sheizSIdXCdCFKYhdFSiOSl6i22DTSYJt,35523393,141363,2024-09-30 23:03:16,2024-09-30 23:05:15,2024-09-30 23:05:16,,2024-09-30 23:03:16,nissan_maxima,toyota_corolla,tesla_model_3,300,yes,by_car,5,10_to_30,private_garage,,no,200,app,,yes,200,yes,4,3_to_5,no,,,2024-09-30 23:05:15,2,no,yes
_QiRaRMK-X3EuLZXoKqDRvDWhDQArzoEW6tNoR7SAaqLaYEy27tIZAqTKIkvymoG,35523413,141363,2024-09-30 23:04:06,2024-09-30 23:05:56,2024-09-30 23:05:56,,2024-09-30 23:04:06,tesla_model_x,NA_NA,tesla_model_x,300,yes,by_car,5,below_10,driveway,,yes,300,app,,yes,300,yes,1,3_to_5,no,,,2024-09-30 23:05:56,1,yes,
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523416,141363,2024-09-30 23:04:11,2024-09-30 23:06:53,2024-09-30 23:06:53,,2024-09-30 23:04:11,bmw_5_series,NA_NA,tesla_model_s,300,yes,by_car,6,31_to_50,private_garage,,yes,400,app,,yes,400,yes,5,more_than_8,yes,4,3_to_5,2024-09-30 23:06:53,1,no,yes
FKahU5Wh2RwmWyWeKDp1dPdDrcu4N-OQbtdhYjUKcYXu6QurakRuAD8BZgQ-wyIu,35523437,141363,2024-09-30 23:05:15,2024-09-30 23:07:30,2024-09-30 23:07:30,,2024-09-30 23:05:15,ford_mustang_mach_e,NA_NA,ford_mustang_mach_e,250,no,,,10_to_30,private_garage,,yes,300,app,,yes,300,yes,1,3_to_5,no,,,2024-09-30 23:07:30,1,yes,
cYzydpDFG4f8Yz1S9_PZKqU20mpaKiko8lOE6W_-anUJTf6m5YQV1nz9BHC_jFME,35523444,141363,2024-09-30 23:05:35,2024-09-30 23:07:04,2024-09-30 23:07:05,,2024-09-30 23:05:35,toyota_4_runner,audi_e_tron,audi_e_tron,200,yes,by_walk,,below_10,private_garage,,yes,250,no,,no,250,yes,2,5_to_8,no,,,2024-09-30 23:07:05,2,yes,
MT5QYR8Lz0ACE5LdFQlDh4MCoRAVXbCNXpc87QjbbtNvFXQUakdFUufncDa8xTfP,35523449,141363,2024-09-30 23:05:47,2024-09-30 23:07:56,2024-09-30 23:07:56,,2024-09-30 23:05:48,tesla_model_3,NA_NA,tesla_model_3,300,yes,by_car,5,31_to_50,private_garage,,yes,250,no,,yes,250,yes,2,5_to_8,no,,,2024-09-30 23:07:56,1,yes,
RvUPhJ-4kC5dySw7_PeNIkTxJ2WeObGxcfDTHLUEXpJT5te0QgiVbRU8YOkIh1OK,35523482,141363,2024-09-30 23:07:03,2024-09-30 23:08:08,2024-09-30 23:08:09,,2024-09-30 23:07:03,volkswagen_tiguan_limited,NA_NA,bmw_i_5,250,yes,by_car,6,below_10,private_garage,,no,250,no,,yes,250,no,,,no,,,2024-09-30 23:08:08,1,no,yes
mdDl3wMlG1qrRAAabSxgimCiqbJS3iMytnFcgPlqt4bxhUiyAi2J1FTFIKxa8dNR,35523497,141363,2024-09-30 23:08:01,2024-09-30 23:10:13,2024-09-30 23:10:13,,2024-09-30 23:08:01,tesla_model_3,nissan_maxima,tesla_model_3,300,no,,,10_to_30,private_garage,,yes,500,app,,yes,500,yes,6,5_to_8,no,,,2024-09-30 23:10:13,2,yes,
pjZtkvUBESglafCnrudLTAPCUPkTlVe--tX79v20XIXjk-e0y-errOCvN4GY8lzP,35523521,141363,2024-09-30 23:09:06,2024-09-30 23:12:20,2024-09-30 23:12:20,,2024-09-30 23:09:06,tesla_model_y,audi_s_7,tesla_model_y,300,yes,by_car,7,51_to_100,private_garage,,yes,450,app,,yes,450,yes,7,3_to_5,yes,7,3_to_5,2024-09-30 23:12:20,2,yes,
IFaXiO1HwUFMhRSoHJWaSj-YgIP6GlcjndVojThnZ3mjH_hyQLZ2ydBQl3KLQjI5,35523530,141363,2024-09-30 23:09:24,2024-09-30 23:12:00,2024-09-30 23:12:00,,2024-09-30 23:09:24,hyundai_ioniq_6,NA_NA,hyundai_ioniq_6,300,yes,by_car,2,10_to_30,driveway,,yes,350,no,,yes,350,yes,2,more_than_8,yes,1,less_than_3,2024-09-30 23:12:00,1,yes,
QdJkQJYbu7Rfr4tr5KHf_8fMLqWhIxYlCs35FOz6G6BjFQLZe5_MiLIuvpnMWRwv,35523534,141363,2024-09-30 23:09:44,2024-09-30 23:11:32,2024-09-30 23:11:33,,2024-09-30 23:09:44,bmw_m_6_gran_coupe,chrysler_300,gmc_hummer_ev,300,yes,by_car,6,31_to_50,other,In your parking place,yes,150,app,,yes,150,yes,6,3_to_5,no,,,2024-09-30 23:11:33,4,no,yes
e5Q3JOF6kI936WzopLk8QULEpcL0JkaBTzlTe3Q3bGEZ4hObT3gHgadWRu6OYSYt,35523550,141363,2024-09-30 23:10:07,2024-09-30 23:11:25,2024-09-30 23:11:26,,2024-09-30 23:10:07,tesla_model_x,cadillac_xt_5,tesla_model_x,300,yes,by_car,4,10_to_30,private_garage,,no,250,no,,yes,250,yes,1,5_to_8,no,,,2024-09-30 23:11:26,2,yes,
1pZE7Fs3qx9rnJEJ5EqKInBIM6LpByP7NrnwMVkkgVR-WEGiEo_iqdlb71oESKTO,35523574,141363,2024-09-30 23:10:49,2024-09-30 23:12:27,2024-09-30 23:12:27,,2024-09-30 23:10:49,toyota_c_hr,NA_NA,toyota_b_z_4_x,250,yes,by_car,5,below_10,private_garage,,yes,idk,app,,no,250,yes,2,less_than_3,no,,,2024-09-30 23:12:27,1,no,yes
AwBKpvU6x7ofl1du3pJTUxcX-kPMCybuRCxJMmZ3rvQD2aW1BpvrQjHgJIKcvsbX,35523592,141363,2024-09-30 23:11:30,2024-09-30 23:14:55,2024-09-30 23:14:55,,2024-09-30 23:11:31,ford_f_150,NA_NA,ford_f_150_lightning,300,yes,by_car,5,10_to_30,private_garage,,no,500,smc,Ford app,yes,500,yes,2,less_than_3,yes,4,less_than_3,2024-09-30 23:14:55,1,no,yes
fFWBbI5toBUY4hiM8espbt3NVHMyHB8BZzsyGEkc2bl5wdH-gbDRXeI5_BFcWUUs,35523597,141363,2024-09-30 23:11:32,2024-09-30 23:13:15,2024-09-30 23:13:15,,2024-09-30 23:11:32,audi_e_tron_s_sportback,bmw_6_series_gran_turismo,audi_e_tron_s_sportback,200,yes,by_car,5,51_to_100,private_garage,,no,350,no,,yes,350,yes,4,5_to_8,no,,,2024-09-30 23:13:15,4,yes,
EDLQDZ-W1gD771HX1HiBQ9QYfo5pz9B8oBQdWufBlILeSz9e_7jtapsMDiYMby8Q,35523602,141363,2024-09-30 23:11:35,2024-09-30 23:13:57,2024-09-30 23:13:57,,2024-09-30 23:11:36,tesla_model_y,NA_NA,tesla_model_y,300,yes,by_car,4,31_to_50,private_garage,,no,300,app,,yes,300,yes,3,5_to_8,no,,,2024-09-30 23:13:57,1,yes,
iUdN1rS81nIe4-tWCdJXZ7EKWbNG6whPUDQTfv22CmfmJTpjo3N0Zlqougn55-72,35523611,141363,2024-09-30 23:11:54,2024-09-30 23:14:26,2024-09-30 23:14:26,,2024-09-30 23:11:54,mercedes_benz_gle_class_coupe,NA_NA,tesla_model_x,300,yes,by_car,7,10_to_30,private_garage,,yes,400,app,,yes,400,yes,3,5_to_8,no,,,2024-09-30 23:14:26,1,no,yes
LLlbgdruUZOx0I8YHHkNQW_6R0_2iqeQzZi_mYPsoL4m2JLwvjdzONPLGspr25OG,35523633,141363,2024-09-30 23:12:53,2024-09-30 23:15:28,2024-09-30 23:15:28,,2024-09-30 23:12:53,tesla_model_3,lexus_nx_300,tesla_model_3,300,yes,by_car,4,10_to_30,private_garage,,yes,250,app,,yes,250,yes,2,less_than_3,yes,2,5_to_8,2024-09-30 23:15:28,2,yes,
kSdv89ssZZkrrCF786TK63PRYdX1cWPCLju323RsdSzXOD83nAhlTx-mGu2Cc28o,35523636,141363,2024-09-30 23:12:56,2024-09-30 23:14:29,2024-09-30 23:14:29,,2024-09-30 23:12:56,tesla_model_s,NA_NA,tesla_model_s,300,yes,by_car,3,10_to_30,private_garage,,not_sure,250,no,,yes,250,yes,3,more_than_8,no,,,2024-09-30 23:14:29,1,yes,
GozdmwEEH0ZQizbCvXi8dDen4pcm6Z2enIkaPmEy8st0lcKmyDaMGozJsL3bkpv3,35523652,141363,2024-09-30 23:13:45,2024-09-30 23:17:20,2024-09-30 23:17:21,,2024-09-30 23:13:45,tesla_model_x,NA_NA,tesla_model_x,300,yes,by_car,4,below_10,driveway,,no,400,app,,yes,400,yes,3,5_to_8,no,,,2024-09-30 23:17:21,1,yes,
CPKt6374uQQ6beFboGYLMvIkmWtr6uxKqb9nbx-BH7OuFB25tLKhGZRMSQQzJvW5,35523671,141363,2024-09-30 23:14:45,2024-09-30 23:18:23,2024-09-30 23:18:23,,2024-09-30 23:14:46,tesla_model_y,toyota_camry_hybrid,tesla_model_y,300,no,,,10_to_30,private_garage,,not_sure,300,no,,yes,300,yes,5,3_to_5,no,,,2024-09-30 23:18:23,2,yes,
2xmOcS6NZWyc_Aq6hvqGaZ9azd9-1e-X1mvv2igDtC464AonMzawhUq_5cGgE2Y-,35523701,141363,2024-09-30 23:16:44,2024-09-30 23:25:42,2024-09-30 23:25:42,,2024-09-30 23:16:44,audi_a_8,bmw_8_series,lexus_rz_450_e,200,yes,by_car,5,51_to_100,private_garage,,not_sure,400,smc,Tesla,no,400,yes,2,less_than_3,yes,5,5_to_8,2024-09-30 23:25:42,2,no,yes
OL0BRcS5byQymtDDf3qUHoxWqIjbqgdX9-2aCHYU7CHD-cdrE9vbqeCeFEIly6f7,35523770,141363,2024-09-30 23:20:26,2024-09-30 23:23:39,2024-09-30 23:23:39,,2024-09-30 23:20:26,bmw_i_8,mercedes_benz_glk_class,tesla_model_x,300,yes,by_car,6,31_to_50,private_garage,,yes,200,smc,Information technology ,yes,200,yes,4,less_than_3,yes,4,less_than_3,2024-09-30 23:23:39,2,no,yes
GwR3yVLOrXMIdYam_F9b1Cj6JhOoHle7iRlRbvBWWEK-Fkq044aufB_8MkL8tAmI,35523895,141363,2024-09-30 23:33:08,2024-09-30 23:34:23,2024-09-30 23:34:24,,2024-09-30 23:33:08,tesla_model_3,toyota_4_runner,tesla_model_3,300,yes,by_car,3,10_to_30,private_garage,,yes,300,app,,yes,300,yes,3,less_than_3,no,,,2024-09-30 23:34:23,3,yes,
Qi88WmtEVDBq1QkEeYGygRpE2iHoKZqgMOO4l2GdFuGHCkeHHvkzQ8VOLWEd5_7c,35523924,141363,2024-09-30 23:37:13,2024-09-30 23:41:41,2024-09-30 23:41:41,,2024-09-30 23:37:13,bmw_i_4,NA_NA,bmw_i_4,250,yes,by_car,5,below_10,private_garage,,yes,250,app,,yes,250,yes,6,3_to_5,yes,4,less_than_3,2024-09-30 23:41:41,1,yes,
k1V0ZNRuzQO7NJg07GIi3Oq-EDxWUvoY-MC0G25y_KbgXsKu_rjqmIICxInkK5wl,35523928,141363,2024-09-30 23:37:24,2024-09-30 23:39:41,2024-09-30 23:39:41,,2024-09-30 23:37:24,chevrolet_bolt_euv,chevrolet_silverado_1500,chevrolet_bolt_euv,250,yes,by_car,5,10_to_30,driveway,,no,250,app,,yes,250,yes,7,3_to_5,no,,,2024-09-30 23:39:41,3,yes,
d9V-oHFtJS_kJHkA44UUBL93jsPc-EpBSKIqJMhpaOApGbAItSl4oVPcw4SEdwa5,35523938,141363,2024-09-30 23:38:01,2024-09-30 23:38:12,,,2024-09-30 23:38:01,honda_accord,NA_NA,honda_clarity,,,,,,,,,,,,,,,,,,,,,1,no,yes
BEUIXn84DYH7DLBdx5DFZyxNSDuItNYY8k-IXhqV6D5OpnWbwx1bMOLuyxeZ18rO,35523945,141363,2024-09-30 23:38:39,2024-09-30 23:40:01,2024-09-30 23:40:02,,2024-09-30 23:38:39,toyota_highlander,honda_cr_v,tesla_model_y,300,no,,,below_10,private_garage,,yes,300,app,,no,300,yes,4,more_than_8,no,,,2024-09-30 23:40:02,2,no,yes
ucJsp8Nc6yFB3GmlkFzbV_GgNnlMujPsHoqVJtFAHnD7qb-Akg1_sv-dZu9LvtLn,35523976,141363,2024-09-30 23:43:38,2024-09-30 23:45:07,2024-09-30 23:45:07,,2024-09-30 23:43:39,ford_mustang_mach_e,toyota_camry,ford_mustang_mach_e,250,yes,by_car,5,10_to_30,private_garage,,yes,250,app,,yes,250,yes,6,3_to_5,no,,,2024-09-30 23:45:07,2,yes,
JGPgA76tF5uyIJfRvkshDv9Utz_QDOh2PjrD2yqNsJ5A8U6cIeMqd2Ecvly7Vq0X,35538716,141363,2024-10-02 00:29:55,2024-10-02 00:34:08,2024-10-02 00:34:09,,2024-10-02 00:29:57,tesla_model_y,lexus_ct_200_h,tesla_model_y,300,yes,by_car,5,below_10,private_garage,,no,350,app,,yes,350,yes,1,5_to_8,no,,,2024-10-02 00:34:09,2,yes,
nyZBVVasdjfijIqk4dcv-cC54ezTExrHn595Wj2i3V5ko2YLC2Y59suIN_PX-abK,35538728,141363,2024-10-02 00:32:05,2024-10-02 00:33:01,2024-10-02 00:33:02,,2024-10-02 00:32:07,honda_fit,tesla_model_y,tesla_model_y,300,no,,,10_to_30,private_garage,,no,idk,app,,yes,300,yes,2,3_to_5,no,,,2024-10-02 00:33:02,3,yes,
SFmkRGcJc1Ve6bZUNSQ50_1pwEPOBp5OjTBdhyzJYB2Bm0VvM6ZXCaVLkL-DOt_p,35538736,141363,2024-10-02 00:33:15,2024-10-02 00:35:12,2024-10-02 00:35:13,,2024-10-02 00:33:17,hyundai_ioniq_5,honda_cr_v,hyundai_ioniq_5,250,no,,,10_to_30,private_garage,,yes,300,no,,no,300,no,,,no,,,2024-10-02 00:35:13,2,yes,
hBwqSzvbecohOsNnWYhNWybIVuKmnOh_fg3SSjtpSZGvr06apCpfJWTf1yU1gEeK,35538740,141363,2024-10-02 00:33:46,2024-10-02 00:36:13,2024-10-02 00:36:15,,2024-10-02 00:33:47,tesla_model_3,jeep_grand_cherokee,tesla_model_3,300,yes,by_car,5,31_to_50,driveway,,yes,250,app,,no,250,no,,,yes,2,5_to_8,2024-10-02 00:36:15,5,yes,
PxdG2Ibd_YFprO1qfzSu9vGMNa4AlMai5HOntEtnISTDc5F8CMPY3L6Z5QbzxNNP,35538774,141363,2024-10-02 00:35:12,2024-10-02 00:36:36,2024-10-02 00:36:37,,2024-10-02 00:35:13,tesla_model_s,NA_NA,tesla_model_s,300,yes,by_car,4,10_to_30,shared_lot,,not_sure,350,app,,no,350,no,,,yes,2,3_to_5,2024-10-02 00:36:37,1,yes,
o1BhFSvlIJ13ZRzzHxtUwubBzeGnAhmtKlky_8oYjICO-9e6eNs205effyaY3rVc,35538783,141363,2024-10-02 00:35:24,2024-10-02 00:37:26,2024-10-02 00:37:28,,2024-10-02 00:35:26,hyundai_kona_electric,NA_NA,hyundai_kona_electric,250,yes,by_car,5,10_to_30,private_garage,,yes,300,app,,yes,300,yes,1,5_to_8,no,,,2024-10-02 00:37:28,1,yes,
