session,session_id,study_id,created,modified,ended,expired,time_2_start,smc_survey,smc_respID,smc_df,user_range,mc_smc_0,time_2_1,mc_smc_1,time_2_2,mc_smc_2,time_2_3,mc_smc_3,time_2_4,mc_smc_4,time_2_5,mc_smc_5,time_2_6,mc_smc_6,time_2_7,smc_all_same,time_2_1_posix,time_2_7_posix,time_diff_smc,smc_speeding,time_2_end
t_2eQ5vlwrY-yKYzNPjDllokSv4qvUVAzurU37bxmKkV2Iy9UyEIw55JA8Sdw8S6,35522872,141364,2024-09-30 22:11:52,2024-09-30 22:16:34,2024-09-30 22:16:35,,2024-09-30 22:11:53,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",101,"{""profileID"":698,""respID"":101,""qID"":1,""altID"":1,""obsID"":601,""enrollment_cash"":100,""monthly_cash"":20,""override"":3,""minimum_threshold"":40,""guaranteed_threshold"":80,""no_choice"":0}",300,2,2024-09-30 22:13:16,1,2024-09-30 22:14:00,1,2024-09-30 22:14:14,2,2024-09-30 22:14:57,2,2024-09-30 22:15:36,2,2024-09-30 22:15:46,2,2024-09-30 22:16:31,no,2024-09-30 22:13:16,2024-09-30 22:16:31,195,no,2024-09-30 22:16:34
dU2b8PyZ46FCmiGpy1YqBfCtEY5sknRQmP2tM9pi09L4-kIvYQ-2RMC6QQzzgm07,35523272,141364,2024-09-30 22:57:43,2024-09-30 23:04:18,2024-09-30 23:04:18,,2024-09-30 22:57:43,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",3265,"{""profileID"":355,""respID"":3265,""qID"":1,""altID"":1,""obsID"":15985,""enrollment_cash"":200,""monthly_cash"":15,""override"":1,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",250,1,2024-09-30 22:58:53,1,2024-09-30 22:59:02,1,2024-09-30 22:59:09,2,2024-09-30 22:59:15,2,2024-09-30 22:59:43,1,2024-09-30 22:59:50,1,2024-09-30 22:59:59,no,2024-09-30 22:58:53,2024-09-30 22:59:59,66,no,2024-09-30 23:04:18
v-2TkldmWPa3AnLLVnpjQiB5QktRb1471QcYKJ8y_rtKdughskCpT19Uh4llZYfT,35523282,141364,2024-09-30 22:58:11,2024-09-30 23:02:09,2024-09-30 23:02:09,,2024-09-30 22:58:11,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2469,"{""profileID"":223,""respID"":2469,""qID"":1,""altID"":1,""obsID"":11209,""enrollment_cash"":200,""monthly_cash"":2,""override"":5,""minimum_threshold"":40,""guaranteed_threshold"":60,""no_choice"":0}",250,2,2024-09-30 23:00:11,1,2024-09-30 23:00:51,2,2024-09-30 23:01:08,2,2024-09-30 23:01:21,1,2024-09-30 23:01:36,2,2024-09-30 23:01:52,1,2024-09-30 23:02:04,no,2024-09-30 23:00:11,2024-09-30 23:02:04,113,no,2024-09-30 23:02:09
oidZjnyVB4-70s1Boz_P0wGbPjPV2MrwfnNkCJYWCLi42xvReQvWPNL3JfXYEir_,35523285,141364,2024-09-30 22:58:18,2024-09-30 23:01:38,2024-09-30 23:01:38,,2024-09-30 22:58:18,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",925,"{""profileID"":415,""respID"":925,""qID"":1,""altID"":1,""obsID"":1945,""enrollment_cash"":200,""monthly_cash"":15,""override"":0,""minimum_threshold"":40,""guaranteed_threshold"":70,""no_choice"":0}",450,2,2024-09-30 22:59:50,1,2024-09-30 23:00:16,1,2024-09-30 23:00:31,1,2024-09-30 23:00:44,2,2024-09-30 23:00:53,2,2024-09-30 23:01:02,1,2024-09-30 23:01:33,no,2024-09-30 22:59:50,2024-09-30 23:01:33,103,no,2024-09-30 23:01:38
yVZ65fIewcf6d88Q9WzAdkOGYqwMYbqGRBeWxpNDDf_-CIyM5X4tQPvdEqPCGUYI,35523298,141364,2024-09-30 22:59:23,2024-09-30 23:03:28,2024-09-30 23:03:29,,2024-09-30 22:59:23,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1884,"{""profileID"":602,""respID"":1884,""qID"":1,""altID"":1,""obsID"":7699,""enrollment_cash"":100,""monthly_cash"":2,""override"":3,""minimum_threshold"":30,""guaranteed_threshold"":80,""no_choice"":0}",350,2,2024-09-30 23:01:41,2,2024-09-30 23:02:02,2,2024-09-30 23:02:19,2,2024-09-30 23:02:32,2,2024-09-30 23:02:44,2,2024-09-30 23:03:00,2,2024-09-30 23:03:21,yes,2024-09-30 23:01:41,2024-09-30 23:03:21,100,no,2024-09-30 23:03:28
4FAjz5NMfKjWhQeDNP-SyW_2n9ljAB0FzBDJwI1KqRe00EvfgCG_Jei6BKu6g3nC,35523304,141364,2024-09-30 22:59:52,2024-09-30 23:02:44,2024-09-30 23:02:44,,2024-09-30 22:59:53,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2212,"{""profileID"":278,""respID"":2212,""qID"":1,""altID"":1,""obsID"":9667,""enrollment_cash"":100,""monthly_cash"":20,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":70,""no_choice"":0}",350,1,2024-09-30 23:00:39,1,2024-09-30 23:00:50,1,2024-09-30 23:00:57,1,2024-09-30 23:01:03,2,2024-09-30 23:02:31,1,2024-09-30 23:02:36,2,2024-09-30 23:02:41,no,2024-09-30 23:00:39,2024-09-30 23:02:41,122,no,2024-09-30 23:02:44
TK9D8baoAf7zrjZOq-Op8Lj1wRwb4m5PZ-L00vdgmidZ1RwfAH3gbhpGM03LFPt6,35523312,141364,2024-09-30 23:00:11,2024-09-30 23:03:46,2024-09-30 23:03:46,,2024-09-30 23:00:11,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",4509,"{""profileID"":635,""respID"":4509,""qID"":1,""altID"":1,""obsID"":23449,""enrollment_cash"":200,""monthly_cash"":15,""override"":5,""minimum_threshold"":30,""guaranteed_threshold"":80,""no_choice"":0}",350,2,2024-09-30 23:01:41,1,2024-09-30 23:02:07,2,2024-09-30 23:02:22,2,2024-09-30 23:02:40,1,2024-09-30 23:03:02,1,2024-09-30 23:03:20,2,2024-09-30 23:03:41,no,2024-09-30 23:01:41,2024-09-30 23:03:41,120,no,2024-09-30 23:03:46
L-vBNlQ7-C9Ktrh-NJwGbc1pon3L_HLOn-dNnZet4PQWYjB3JQbpBsHcx_zDJKW_,35523318,141364,2024-09-30 23:00:27,2024-09-30 23:05:35,2024-09-30 23:05:35,,2024-09-30 23:00:27,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1996,"{""profileID"":522,""respID"":1996,""qID"":1,""altID"":1,""obsID"":8371,""enrollment_cash"":100,""monthly_cash"":2,""override"":3,""minimum_threshold"":20,""guaranteed_threshold"":80,""no_choice"":0}",350,2,2024-09-30 23:02:12,2,2024-09-30 23:02:34,1,2024-09-30 23:02:57,1,2024-09-30 23:03:06,2,2024-09-30 23:04:45,1,2024-09-30 23:05:03,2,2024-09-30 23:05:24,no,2024-09-30 23:02:12,2024-09-30 23:05:24,192,no,2024-09-30 23:05:35
pwtgJvz788_FekdWAX0tGevbhkAspDIL5zTOHjjDo8lZ0ZoUBmi3Ypb0pm3JAHCv,35523326,141364,2024-09-30 23:00:40,2024-09-30 23:02:31,2024-09-30 23:02:31,,2024-09-30 23:00:40,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",578,"{""profileID"":32,""respID"":578,""qID"":1,""altID"":1,""obsID"":3463,""enrollment_cash"":300,""monthly_cash"":10,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",300,2,2024-09-30 23:01:34,2,2024-09-30 23:01:47,2,2024-09-30 23:01:56,1,2024-09-30 23:02:04,2,2024-09-30 23:02:12,2,2024-09-30 23:02:20,1,2024-09-30 23:02:28,no,2024-09-30 23:01:34,2024-09-30 23:02:28,54,no,2024-09-30 23:02:31
h9hm_jQ1cGJ1qnHDy62PQg5Yg4RCVB_SJCD6mpnCuGXBNfMLbBgYc0xMudv7h5rn,35523355,141364,2024-09-30 23:02:26,2024-09-30 23:06:39,2024-09-30 23:06:39,,2024-09-30 23:02:27,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",494,"{""profileID"":209,""respID"":494,""qID"":1,""altID"":1,""obsID"":2959,""enrollment_cash"":50,""monthly_cash"":10,""override"":3,""minimum_threshold"":40,""guaranteed_threshold"":60,""no_choice"":0}",350,2,2024-09-30 23:04:05,2,2024-09-30 23:04:37,1,2024-09-30 23:05:18,2,2024-09-30 23:05:36,1,2024-09-30 23:06:05,2,2024-09-30 23:06:16,1,2024-09-30 23:06:32,no,2024-09-30 23:04:05,2024-09-30 23:06:32,147,no,2024-09-30 23:06:39
F97ugpWtki1WviDFgwOxESNzecuf1zrVkBUybKVvseqQbnlN1eEjNJ1qgExWLrsw,35523361,141364,2024-09-30 23:02:36,2024-09-30 23:04:35,2024-09-30 23:04:35,,2024-09-30 23:02:36,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2924,"{""profileID"":208,""respID"":2924,""qID"":1,""altID"":1,""obsID"":13939,""enrollment_cash"":300,""monthly_cash"":5,""override"":3,""minimum_threshold"":40,""guaranteed_threshold"":60,""no_choice"":0}",350,1,2024-09-30 23:03:15,2,2024-09-30 23:03:45,2,2024-09-30 23:04:00,2,2024-09-30 23:04:09,1,2024-09-30 23:04:18,1,2024-09-30 23:04:26,1,2024-09-30 23:04:32,no,2024-09-30 23:03:15,2024-09-30 23:04:32,77,no,2024-09-30 23:04:35
zb2ooFv4i8qr04Xvlruc2OQQGN-978tlA5OEf75AiTstyLgfa0FrzvltqfYX0QWO,35523400,141364,2024-09-30 23:03:35,2024-09-30 23:06:04,2024-09-30 23:06:04,,2024-09-30 23:03:35,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",4443,"{""profileID"":380,""respID"":4443,""qID"":1,""altID"":1,""obsID"":23053,""enrollment_cash"":300,""monthly_cash"":20,""override"":3,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",350,2,2024-09-30 23:04:26,1,2024-09-30 23:04:47,2,2024-09-30 23:04:57,1,2024-09-30 23:05:09,2,2024-09-30 23:05:19,2,2024-09-30 23:05:29,1,2024-09-30 23:05:42,no,2024-09-30 23:04:26,2024-09-30 23:05:42,76,no,2024-09-30 23:06:04
VvQHLx2tmoDDhmJiFQkPQmGJ2yPLXtUxJENPjnKiko0LLpN2QXZSowvezIlk51EI,35523410,141364,2024-09-30 23:04:04,2024-09-30 23:06:07,2024-09-30 23:06:08,,2024-09-30 23:04:04,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1529,"{""profileID"":522,""respID"":1529,""qID"":1,""altID"":1,""obsID"":5569,""enrollment_cash"":100,""monthly_cash"":2,""override"":3,""minimum_threshold"":20,""guaranteed_threshold"":80,""no_choice"":0}",350,1,2024-09-30 23:04:37,1,2024-09-30 23:04:50,1,2024-09-30 23:05:04,2,2024-09-30 23:05:13,2,2024-09-30 23:05:37,1,2024-09-30 23:05:49,2,2024-09-30 23:06:03,no,2024-09-30 23:04:37,2024-09-30 23:06:03,86,no,2024-09-30 23:06:07
03pHkOC_4o819mZXRkxuPp9-WHZo4uEtflmWkhiJ7Bm6iLBZZGaUg2Mx89OhkZJW,35523421,141364,2024-09-30 23:04:34,,,,2024-09-30 23:04:34,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2453,"{""profileID"":357,""respID"":2453,""qID"":1,""altID"":1,""obsID"":11113,""enrollment_cash"":50,""monthly_cash"":20,""override"":1,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",300,,,,,,,,,,,,,,,,,,,,
6SKdFRJ7tU84Jwxm9gs1cKPVE1EsjUlnPMfrFfxLl6e2j09yPSXnKaSACsejX62j,35523426,141364,2024-09-30 23:04:54,2024-09-30 23:08:37,2024-09-30 23:08:37,,2024-09-30 23:04:54,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1573,"{""profileID"":397,""respID"":1573,""qID"":1,""altID"":1,""obsID"":5833,""enrollment_cash"":50,""monthly_cash"":20,""override"":5,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",500,2,2024-09-30 23:05:57,2,2024-09-30 23:06:12,2,2024-09-30 23:07:35,2,2024-09-30 23:07:49,1,2024-09-30 23:08:02,1,2024-09-30 23:08:18,2,2024-09-30 23:08:30,no,2024-09-30 23:05:57,2024-09-30 23:08:30,153,no,2024-09-30 23:08:37
zX9r9Q1RRMSg2gqFLw3KSj9OYWDMR_-sheizSIdXCdCFKYhdFSiOSl6i22DTSYJt,35523439,141364,2024-09-30 23:05:16,2024-09-30 23:06:28,2024-09-30 23:06:29,,2024-09-30 23:05:16,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",2388,"{""profileID"":336,""respID"":2388,""qID"":1,""altID"":1,""obsID"":10723,""enrollment_cash"":300,""monthly_cash"":15,""override"":0,""minimum_threshold"":30,""guaranteed_threshold"":70,""no_choice"":0}",200,2,2024-09-30 23:05:46,1,2024-09-30 23:05:51,2,2024-09-30 23:06:04,2,2024-09-30 23:06:10,2,2024-09-30 23:06:15,1,2024-09-30 23:06:20,2,2024-09-30 23:06:25,no,2024-09-30 23:05:46,2024-09-30 23:06:25,39,no,2024-09-30 23:06:29
_QiRaRMK-X3EuLZXoKqDRvDWhDQArzoEW6tNoR7SAaqLaYEy27tIZAqTKIkvymoG,35523456,141364,2024-09-30 23:05:56,,,,2024-09-30 23:05:56,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",3979,"{""profileID"":424,""respID"":3979,""qID"":1,""altID"":1,""obsID"":20269,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":40,""guaranteed_threshold"":70,""no_choice"":0}",300,,,,,,,,,,,,,,,,,,,,
ZU8vf9XSr6aoxO9_WSTn77eOTq-bfT3UR3uDcJF3vloeJMbwFB8OaIjY-GXWa9Ns,35523477,141364,2024-09-30 23:06:53,2024-09-30 23:08:45,2024-09-30 23:08:45,,2024-09-30 23:06:53,"{""profileID"":24,""respID"":1,""qID"":1,""altID"":1,""obsID"":1,""enrollment_cash"":300,""monthly_cash"":2,""override"":1,""minimum_threshold"":20,""guaranteed_threshold"":60,""no_choice"":0}",1983,"{""profileID"":541,""respID"":1983,""qID"":1,""altID"":1,""obsID"":8293,""enrollment_cash"":50,""monthly_cash"":2,""override"":5,""minimum_threshold"":20,""guaranteed_threshold"":80,""no_choice"":0}",400,2,2024-09-30 23:07:23,2,2024-09-30 23:07:30,2,2024-09-30 23:07:35,2,2024-09-30 23:07:40,1,2024-09-30 23:08:20,2,2024-09-30 23:08:34,2,2024-09-30 23:08:38,no,2024-09-30 23:07:23,2024-09-30 23:08:38,75,no,2024-09-30 23:08:45
