session,session_id,study_id,iteration,created,modified,ended,expired,time_4a_start,mc_v2g,mc_v2g_charger,txt_v2g_pay,completion_code,txt_feedback_1,time_4a_end
GwR3yVLOrXMIdYam_F9b1Cj6JhOoHle7iRlRbvBWWEK-Fkq044aufB_8MkL8tAmI,35523919,141366,55,2024-09-30 23:37:05,2024-09-30 23:37:44,2024-09-30 23:37:44,,2024-09-30 23:37:05,yes,no,,846043,,2024-09-30 23:37:44
BEUIXn84DYH7DLBdx5DFZyxNSDuItNYY8k-IXhqV6D5OpnWbwx1bMOLuyxeZ18rO,35523968,141366,56,2024-09-30 23:42:21,2024-09-30 23:42:36,2024-09-30 23:42:36,,2024-09-30 23:42:21,no,,,299563,,2024-09-30 23:42:36
k1V0ZNRuzQO7NJg07GIi3Oq-EDxWUvoY-MC0G25y_KbgXsKu_rjqmIICxInkK5wl,35523979,141366,57,2024-09-30 23:44:02,2024-09-30 23:44:24,2024-09-30 23:44:25,,2024-09-30 23:44:02,yes,no,,458000,,2024-09-30 23:44:25
Qi88WmtEVDBq1QkEeYGygRpE2iHoKZqgMOO4l2GdFuGHCkeHHvkzQ8VOLWEd5_7c,35523989,141366,58,2024-09-30 23:45:40,2024-09-30 23:47:08,2024-09-30 23:47:09,,2024-09-30 23:45:40,no,,,947915,The survey was fun,2024-09-30 23:47:09
ucJsp8Nc6yFB3GmlkFzbV_GgNnlMujPsHoqVJtFAHnD7qb-Akg1_sv-dZu9LvtLn,35524006,141366,59,2024-09-30 23:47:47,2024-09-30 23:48:12,2024-09-30 23:48:12,,2024-09-30 23:47:47,yes,yes,100,399972,,2024-09-30 23:48:12
nyZBVVasdjfijIqk4dcv-cC54ezTExrHn595Wj2i3V5ko2YLC2Y59suIN_PX-abK,35538755,141366,60,2024-10-02 00:34:35,2024-10-02 00:34:48,2024-10-02 00:34:50,,2024-10-02 00:34:36,no,,,120331,,2024-10-02 00:34:50
hBwqSzvbecohOsNnWYhNWybIVuKmnOh_fg3SSjtpSZGvr06apCpfJWTf1yU1gEeK,35538832,141366,61,2024-10-02 00:38:15,2024-10-02 00:38:37,2024-10-02 00:38:39,,2024-10-02 00:38:17,no,,,334948,,2024-10-02 00:38:39
JGPgA76tF5uyIJfRvkshDv9Utz_QDOh2PjrD2yqNsJ5A8U6cIeMqd2Ecvly7Vq0X,35538844,141366,62,2024-10-02 00:39:05,2024-10-02 00:40:17,2024-10-02 00:40:19,,2024-10-02 00:39:07,no,,,691928,,2024-10-02 00:40:19
PxdG2Ibd_YFprO1qfzSu9vGMNa4AlMai5HOntEtnISTDc5F8CMPY3L6Z5QbzxNNP,35538845,141366,63,2024-10-02 00:39:08,2024-10-02 00:39:51,2024-10-02 00:39:53,,2024-10-02 00:39:09,no,,,308817,N/A ,2024-10-02 00:39:53
SFmkRGcJc1Ve6bZUNSQ50_1pwEPOBp5OjTBdhyzJYB2Bm0VvM6ZXCaVLkL-DOt_p,35538887,141366,64,2024-10-02 00:40:32,2024-10-02 00:41:13,2024-10-02 00:41:15,,2024-10-02 00:40:34,yes,yes,100,747685,,2024-10-02 00:41:15
o1BhFSvlIJ13ZRzzHxtUwubBzeGnAhmtKlky_8oYjICO-9e6eNs205effyaY3rVc,35538889,141366,65,2024-10-02 00:40:35,2024-10-02 00:41:32,2024-10-02 00:41:33,,2024-10-02 00:40:36,no,,,708851,"This was a VERY FUN survey. Please, send me more of these!!",2024-10-02 00:41:33
1s4BI8U-dW-crot3OORutn3Ip5qESoNuzUG8fGAgLFCNO7wPxl7LUwQXTtltIZGQ,35538891,141366,66,2024-10-02 00:40:36,2024-10-02 00:41:03,2024-10-02 00:41:05,,2024-10-02 00:40:37,yes,yes,100,977432,,2024-10-02 00:41:05
Tq7GZUedtjmDJGNsIxC6ds7PXFqrTLKn6JyP3No_InybWCtG52h1o16i5bOFhaOE,35538914,141366,67,2024-10-02 00:42:11,2024-10-02 00:42:41,2024-10-02 00:42:43,,2024-10-02 00:42:12,yes,yes,100,475485,,2024-10-02 00:42:43
bIa9NKcm6RI_5Dqsz6rkpqq05r9GBi98WZZd3L1mjqqT2U_fh1rKhaCqU-MgPb4C,35538949,141366,68,2024-10-02 00:43:44,2024-10-02 00:44:11,2024-10-02 00:44:13,,2024-10-02 00:43:46,yes,no,,108250,,2024-10-02 00:44:13
lWA8Ll5HHjJfD7qrqhkd_f9jPsnZIUkowwsYhWidyx10C0TAerys0l_hruXJcCdd,35539053,141366,69,2024-10-02 00:48:10,2024-10-02 00:48:50,2024-10-02 00:48:52,,2024-10-02 00:48:11,yes,no,,557881,,2024-10-02 00:48:52
bpCGajVU63ro7RadpfDXQMRgQZ-rGjPMdnuIFtpNlXMe6ejV73GNMDQ8hZrPlGmt,35539083,141366,70,2024-10-02 00:49:25,2024-10-02 00:51:01,2024-10-02 00:51:03,,2024-10-02 00:49:27,no,,,905305,My house has solar and battery storage.  The cars are charged and the grid buys my excess,2024-10-02 00:51:03
HIybVs9LM1U7oYYLxMsDklj-aA1JkPYpiGea2uP45z3snfjEoDJzEgjodBsWs4sW,35539087,141366,71,2024-10-02 00:49:32,2024-10-02 00:50:58,2024-10-02 00:51:00,,2024-10-02 00:49:33,no,,,884001,Our electric bill is around $65 year round even with charging at home.  Living in a retirement home has advantages as we can take their buses to many places.  ,2024-10-02 00:50:59
thA9GKOXR18OhsZK-lwgo8WA2wFSGKvcFvZoiIS-iAajshqHWO8UGwlMgKCHrRwm,35539107,141366,72,2024-10-02 00:50:17,2024-10-02 00:50:30,2024-10-02 00:50:32,,2024-10-02 00:50:19,no,,,658924,,2024-10-02 00:50:32
iVHAaJFGkWGZuOJiwXy4wzPDzIQAf-L9-6elFyACPqJ72XYeLmui1XhZIEL4su0u,35539114,141366,73,2024-10-02 00:50:50,2024-10-02 00:51:45,2024-10-02 00:51:47,,2024-10-02 00:50:52,no,,,557400,,2024-10-02 00:51:47
XkdU7Gd0pZCj_Jd-g03dBd4mb1CGirdOTaG11dK3uAUSpQ9Nz9GLI4iSUdpzSqTk,35539132,141366,74,2024-10-02 00:51:15,2024-10-02 00:51:52,2024-10-02 00:51:54,,2024-10-02 00:51:17,no,,,370346,,2024-10-02 00:51:54
bK9TZC7xvwzGzcBRYuxDHRAGoRM0k_wUeujp_qTBeRmi7nXqkaAxRg2pvdfEDd4x,35539155,141366,75,2024-10-02 00:51:56,2024-10-02 00:52:30,2024-10-02 00:52:32,,2024-10-02 00:51:57,yes,no,,729820,,2024-10-02 00:52:32
zpSCmqAr7PO7CSsVi0Sgb8ytRX-lwRkE7v5Sp6uyU__3Mce8BIjAg6Rv_VQDrAb9,35539246,141366,76,2024-10-02 00:54:47,2024-10-02 00:55:55,2024-10-02 00:55:57,,2024-10-02 00:54:49,no,,,854506,,2024-10-02 00:55:57
UYzTX2hyCdEO0h3WAPKOK2zdUfw2FnkAvjDCNsPwD8hEzpqBx6VgaynHozviq3dW,35539273,141366,77,2024-10-02 00:56:04,2024-10-02 00:56:24,2024-10-02 00:56:26,,2024-10-02 00:56:06,yes,yes,500,320040,,2024-10-02 00:56:26
drz87tnxlJ29YzjmVHuOXFUNzBaPZ1P6Tm1uHQUmaR2mql7BUEwtQ4_IveQsTMMr,35539276,141366,78,2024-10-02 00:56:15,2024-10-02 00:57:11,2024-10-02 00:57:13,,2024-10-02 00:56:16,no,,,973115,none,2024-10-02 00:57:13
wGA5Euzt2rHMjxWyEawi4qO1LJ8AnelbaBpRgiKDc3V4RC06hFwF42NexeaOkyxN,35539298,141366,79,2024-10-02 00:57:52,2024-10-02 00:58:13,2024-10-02 00:58:14,,2024-10-02 00:57:54,no,,,508589,,2024-10-02 00:58:14
j06ZH6DW8cktuZArzZroG04Ut3AmieAkCiqnhI4nkNEdWCGeVmo0HIYWGPd4djEV,35539340,141366,80,2024-10-02 01:02:57,2024-10-02 01:03:28,2024-10-02 01:03:30,,2024-10-02 01:02:58,yes,yes,5000,984051,,2024-10-02 01:03:30
1MFoGYl1sm4S6xMpHoOghME9pLJETqcpPBEZ_f8zlGvNdz4g9zJsYaaRknV3UY-D,35539350,141366,81,2024-10-02 01:04:02,2024-10-02 01:05:10,2024-10-02 01:05:12,,2024-10-02 01:04:04,yes,yes,250,523944,,2024-10-02 01:05:12
MlQIgPwmZY4Ufv0gBvPhx8wVUbUYKLJDez-8f_UAvNo4dtGdZxShG_EERg67U6-c,35539362,141366,82,2024-10-02 01:05:31,2024-10-02 01:06:36,2024-10-02 01:06:37,,2024-10-02 01:05:32,no,,,633212,I already charge at off peak times so Im already doing this.  ,2024-10-02 01:06:37
06BkJBE8n5Gv-DUPpzWy_b6NmKzlCXesA41bkuBvWHUHGILYLsbP9zsaumm90f0P,35539397,141366,83,2024-10-02 01:09:24,2024-10-02 01:10:00,2024-10-02 01:10:02,,2024-10-02 01:09:26,yes,yes,1500,206779,,2024-10-02 01:10:02
pezqQCiWcfc8Tt31mUvVVUCe2xvxZMcKud0pjn5Zup6oLJlVOKE2W3WJRMwLrzyD,35539431,141366,84,2024-10-02 01:12:49,2024-10-02 01:13:01,2024-10-02 01:13:03,,2024-10-02 01:12:50,no,,,483712,,2024-10-02 01:13:02
opY5IETq40kvb9F3YclaLlholmCwAUoRirpzoysPX86UdLI5_5msY6ASjkOGPEAk,35539434,141366,85,2024-10-02 01:13:02,2024-10-02 01:13:40,2024-10-02 01:13:42,,2024-10-02 01:13:03,yes,already_have,,617460,,2024-10-02 01:13:42
cZVbDnjaiXFfhSkxYGarZmoUvweWlM0cuMqfJxQi9DjJ9iWeeB2B_owtMg7AXAOY,35539444,141366,86,2024-10-02 01:14:10,2024-10-02 01:14:37,2024-10-02 01:14:39,,2024-10-02 01:14:12,no,,,125269,None at this time,2024-10-02 01:14:39
UtnHsdfBrdesch18m4lHaGH9tW02-ckd8mqnqYuHQTkTKHVyNOl6o96HsAViYIH8,35539447,141366,87,2024-10-02 01:14:39,2024-10-02 01:15:12,2024-10-02 01:15:14,,2024-10-02 01:14:41,yes,no,,786985,,2024-10-02 01:15:14
k4tbur5O2oIa6wxmYHdy7HOdoU42DsstEm1imeeUUoekgQ5wOQm8qkdtPKBqPGbr,35539475,141366,88,2024-10-02 01:18:11,2024-10-02 01:19:44,2024-10-02 01:19:46,,2024-10-02 01:18:12,yes,yes,500,659315,,2024-10-02 01:19:46
_G56nrIQoytgpdkj5xJQf-POA72Q57UnUfoan3EtLZL4M1GYolUgo4B3Xzj4C9kx,35539476,141366,89,2024-10-02 01:18:38,2024-10-02 01:19:42,2024-10-02 01:19:44,,2024-10-02 01:18:39,yes,yes,3500,243030,,2024-10-02 01:19:44
J-eIL7eNR_bJacPxdq9FuDixo8XpCGuA2tmH8bic60gSoMovI3eEFvCDKwK16hdt,35539488,141366,90,2024-10-02 01:19:35,2024-10-02 01:20:43,2024-10-02 01:20:45,,2024-10-02 01:19:36,no,,,129597,,2024-10-02 01:20:45
UjHF_H6yRQVFgK_vtnuYpTSCFmllRrpoSndM8MJmuE04b-gfj9E4EN3GQJA7w377,35539526,141366,91,2024-10-02 01:21:58,2024-10-02 01:22:13,2024-10-02 01:22:15,,2024-10-02 01:22:00,yes,yes,5000,622378,,2024-10-02 01:22:15
iBULtVSKuQUx25CSNuQR9RTdN2axUkDbXCBALtzFnY1Z49Tzi9hYprf3wSHiK-1N,35539527,141366,92,2024-10-02 01:21:59,2024-10-02 01:23:01,2024-10-02 01:23:03,,2024-10-02 01:22:01,yes,no,,947494,,2024-10-02 01:23:03
NGriQFpE1-TupCN983hfSOB-b8YTthdZkO2vm6u0av2b4mpdqazNFBcsJQVFWcCu,35539556,141366,93,2024-10-02 01:25:00,2024-10-02 01:25:21,2024-10-02 01:25:23,,2024-10-02 01:25:01,no,,,915717,,2024-10-02 01:25:23
G9Uyda6N_2HvKLuE8fj2Vn-jpZD_c66DwjlccPvPQZLZu-GTnj6h6pycIEGbYssS,35539560,141366,94,2024-10-02 01:25:08,2024-10-02 01:25:34,2024-10-02 01:25:34,,2024-10-02 01:25:10,yes,yes,150,856707,,2024-10-02 01:25:34
IWQcMXLrqry2kwmLeTVBnUJWD7zLlDVLI5Co39IbEk2qbDAbqTkaLD_h_3twevLt,35539566,141366,95,2024-10-02 01:25:33,2024-10-02 01:25:51,2024-10-02 01:25:52,,2024-10-02 01:25:33,yes,no,,146244,,2024-10-02 01:25:52
pov7LZC88vSR3gcDDk0DDmnWyNnF05Ck9KCweVCg3Fp0rpkRlGotvWAP0ItrZaT-,35539581,141366,96,2024-10-02 01:26:03,2024-10-02 01:26:27,2024-10-02 01:26:28,,2024-10-02 01:26:03,no,,,658647,,2024-10-02 01:26:28
e3Ihu29Z53sa8i6pFNyMJzkxM8pdjA8v1pa_a8K2idZYEA6A5UdE7OWoa9bVn1Wr,35539582,141366,97,2024-10-02 01:26:07,2024-10-02 01:27:08,2024-10-02 01:27:09,,2024-10-02 01:26:07,yes,yes,500,975526,,2024-10-02 01:27:09
8m0lCGd4u3EBCeKzPNVi_9n96p0jNetv86aPbD0_6jm9gLoilwe-gF08YbEA2tS3,35539588,141366,98,2024-10-02 01:26:39,2024-10-02 01:27:24,2024-10-02 01:27:25,,2024-10-02 01:26:39,yes,yes,200,822853,,2024-10-02 01:27:24
U1LvxVrLP5F9KIrxj_ochm2TiRRwO6HaTf_yFPgYGRke8xtMUaEp2YUPv2ebDQ9R,35539594,141366,99,2024-10-02 01:27:12,2024-10-02 01:27:41,2024-10-02 01:27:41,,2024-10-02 01:27:13,no,,,222168,,2024-10-02 01:27:41
fJ1vrOERc06ihh0fpKK44uPf159A_17y5ODRgCVDKALII2nStqFkCOk-PB5QqmFL,35539636,141366,100,2024-10-02 01:30:32,2024-10-02 01:31:05,2024-10-02 01:31:06,,2024-10-02 01:30:32,no,,,753237,,2024-10-02 01:31:05
pYzNQf6QoAoHljsHOFFzNDleSMARdIJFV4jjwIaaJGAHmPZL59EkjxVXkQnejB2p,35539649,141366,101,2024-10-02 01:31:14,2024-10-02 01:31:41,2024-10-02 01:31:41,,2024-10-02 01:31:15,yes,yes,5000,406825,,2024-10-02 01:31:41
